action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,1,,,,,1,0.01,,1,,,,
,,,,1,,,,,,,,,,15,,15,,,,14,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,1,,0.56,"[{'action_type': 'outbound_click', 'value': '0.56'}]",0.56,,,,0.037333,0.037333,,,0.04,0.56,14.358974,14.736842,2.564103,2025-11-30,2025-11-30,1.026316,39,2.564103,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.564103'}]",38,0.56,3,4,3,13,7,4
,,,,1,,,,,,,,,,33,,33,,,,32,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,1,,1.14,"[{'action_type': 'outbound_click', 'value': '1.14'}]",1.14,,,,0.034545,0.034545,,,0.035625,1.14,11.515152,11.632653,1.010101,2025-11-30,2025-11-30,1.010204,99,1.010101,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.010101'}]",98,1.14,4,3,4,32,16,11
,17,,,5,2,2,17,,,,,,,167,,167,4,4,,158,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,7,,0.86,"[{'action_type': 'outbound_click', 'value': '0.86'}]",0.86,2.15,0.252941,,0.025749,0.025749,1.075,,0.027215,0.614286,10.831234,10.969388,1.763224,2025-11-30,2025-11-30,1.012755,397,1.259446,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.259446'}]",392,4.3,29,4,27,148,79,45
,68,,,19,5,5,68,,,,,,,359,,359,3,3,,337,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,19,"[{'action_type': 'start_trial_mobile_app', 'value': '9.04'}, {'action_type': 'start_trial_total', 'value': '9.04'}]",0.475789,"[{'action_type': 'outbound_click', 'value': '0.475789'}]",0.475789,1.808,0.132941,,0.025181,0.025181,3.013333,,0.026825,0.475789,12.555556,13.235725,2.638889,2025-11-30,2025-11-30,1.054173,720,2.638889,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '2.638889'}]",683,9.04,55,4,49,320,180,117
,5,,,5,,,5,,,,,,,114,,114,2,2,,107,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,5,,0.692,"[{'action_type': 'outbound_click', 'value': '0.692'}]",0.692,,0.692,,0.030351,0.030351,1.73,,0.032336,0.692,14.122449,14.356846,2.040816,2025-11-30,2025-11-30,1.016598,245,2.040816,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '2.040816'}]",241,3.46,20,4,18,100,57,31
,,,,,,,,,,,,,,18,,18,,,,18,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.042778,0.042778,,,0.042778,,19.74359,19.74359,0,2025-11-30,2025-11-30,1,39,,,,,39,0.77,5,4,5,17,10,6
,,,,1,,,,,,,,,,17,,17,1,1,,15,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,18-24,6913347651784,FB_iOS_itoshi_rap_install,1,,0.29,"[{'action_type': 'outbound_click', 'value': '0.29'}]",0.29,,,,0.017059,0.017059,0.29,,0.019333,0.29,13.181818,13.809524,4.545455,2025-11-30,2025-11-30,1.047619,22,4.545455,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '4.545455'}]",21,0.29,1,7,1,14,11,7
,,,,,,,,,,,,,,77,,77,1,1,,76,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.023896,0.023896,1.84,,0.024211,,9.684211,9.839572,0,2025-11-30,2025-11-30,1.016043,190,,,,,187,1.84,4,3,4,75,36,18
,108,1,,20,9,9,108,,,,,,,485,,485,4,4,,461,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,20,"[{'action_type': 'subscribe_mobile_app', 'value': '9.6'}, {'action_type': 'subscribe_total', 'value': '9.6'}, {'action_type': 'start_trial_mobile_app', 'value': '9.6'}, {'action_type': 'start_trial_total', 'value': '9.6'}]",0.48,"[{'action_type': 'outbound_click', 'value': '0.48'}]",0.48,1.066667,0.088889,,0.019794,0.019794,2.4,,0.020824,0.48,8.488064,8.807339,1.768347,2025-11-30,2025-11-30,1.037615,1131,1.768347,20,"[{'action_type': 'outbound_click', 'value': '20'}]","[{'action_type': 'outbound_click', 'value': '1.768347'}]",1090,9.6,38,4,32,432,191,101
,217,,,42,16,16,217,,,,,,,1741,,1741,12,12,,1687,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,45-54,6913347651784,FB_iOS_itoshi_rap_install,41,"[{'action_type': 'subscribe_mobile_app', 'value': '34.17'}, {'action_type': 'subscribe_total', 'value': '34.17'}, {'action_type': 'start_trial_mobile_app', 'value': '34.17'}, {'action_type': 'start_trial_total', 'value': '34.17'}]",0.813571,"[{'action_type': 'outbound_click', 'value': '0.813571'}]",0.813571,2.135625,0.157465,,0.019627,0.019627,2.8475,,0.020255,0.833415,9.542027,9.788026,1.144932,2025-11-30,2025-11-30,1.025781,3581,1.172857,42,"[{'action_type': 'outbound_click', 'value': '42'}]","[{'action_type': 'outbound_click', 'value': '1.172857'}]",3491,34.17,154,4,143,1606,701,391
,164,,,25,10,10,164,,,,1,1,,1193,,1193,10,9,,1158,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,25,"[{'action_type': 'subscribe_mobile_app', 'value': '26.98'}, {'action_type': 'subscribe_total', 'value': '26.98'}, {'action_type': 'start_trial_mobile_app', 'value': '26.98'}, {'action_type': 'start_trial_total', 'value': '26.98'}]",1.0792,"[{'action_type': 'outbound_click', 'value': '1.0792'}]",1.0792,2.698,0.164512,,0.022615,0.022615,2.698,,0.023299,1.0792,10.817963,11.293428,1.002406,2025-11-30,2025-11-30,1.043951,2494,1.002406,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.002406'}]",2389,26.98,111,4,104,1099,493,257
,32,,,6,4,4,32,,,,1,1,,304,,304,2,1,,296,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,65+,6913347651784,FB_iOS_itoshi_rap_install,6,,1.131667,"[{'action_type': 'outbound_click', 'value': '1.131667'}]",1.131667,1.6975,0.212188,,0.022336,0.022336,3.395,,0.022939,1.131667,11.567291,12.390511,1.022147,2025-11-30,2025-11-30,1.071168,587,1.022147,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.022147'}]",548,6.79,28,5,28,274,122,64
,,,,,,,,,,,,,,,,,,,,,,6913358999384,jesus_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6913358999384,jesus_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,1,,,,,1,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,25-34,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,35-44,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.05,0.05,,,0.05,,25,25,0,2025-11-30,2025-11-30,1,2,,,,,2,0.05,,3,,1,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,30,30,0,2025-11-30,2025-11-30,1,1,,,,,1,0.03,1,13,1,1,1,1
