action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,1,,,,,,1,,,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,18-24,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,25-34,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,35-44,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,55-64,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-05,2025-12-05,1,3,,,,,3,0.05,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,1,,,,,1,0.02,,,,,,
,,,,,,,,,,,,,,,3,,3,,,,3,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.08,0.08,,,0.08,,21.818182,21.818182,0,2025-12-05,2025-12-05,1,11,,,,,11,0.24,,1,,3,,
,1,,,,,,1,,,,,,,,23,,23,,,,23,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,1.28,,0.055652,0.055652,,,0.055652,,20.31746,20.645161,0,2025-12-05,2025-12-05,1.016129,63,,,,,62,1.28,1,3,1,23,12,6
,,,,2,,,,,,,,,,,155,,155,,,,153,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,5.65,"[{'action_type': 'outbound_click', 'value': '5.65'}]",5.65,,,,0.072903,0.072903,,,0.073856,5.65,22.828283,24.145299,0.40404,2025-12-05,2025-12-05,1.057692,495,0.40404,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.40404'}]",468,11.3,16,3,16,144,59,37
,45,,,8,5,5,45,,,,1,1,,,405,,405,1,,,396,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,,3.46,"[{'action_type': 'outbound_click', 'value': '3.46'}]",3.46,5.536,0.615111,,0.068346,0.068346,27.68,,0.069899,3.075556,27.847082,28.863399,0.905433,2025-12-05,2025-12-05,1.036496,994,0.804829,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '0.804829'}]",959,27.68,29,4,29,374,153,81
