action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,1,0.01,,6,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-06,2025-12-06,1,1,,,,,1,0,,3,,,,
,,,,,,,,,,,,,,12,,12,,,,12,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,15.319149,15.319149,0,2025-12-06,2025-12-06,1,47,,,,,47,0.72,,2,,11,2,
,1,,,2,,,1,,,1,1,,,118,,118,1,,,115,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,3.575,"[{'action_type': 'outbound_click', 'value': '3.575'}]",3.575,,7.15,,0.060593,0.060593,7.15,,0.062174,3.575,16.25,16.823529,0.454545,2025-12-06,2025-12-06,1.035294,440,0.454545,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.454545'}]",425,7.15,4,2,4,108,40,17
,61,,,14,6,6,61,,,,,,,748,,748,5,5,,729,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,15,,3.522857,"[{'action_type': 'outbound_click', 'value': '3.522857'}]",3.522857,8.22,0.808525,,0.065936,0.065936,9.864,,0.067654,3.288,23.187588,23.988327,0.705219,2025-12-06,2025-12-06,1.034533,2127,0.658204,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '0.658204'}]",2056,49.32,60,3,58,685,275,144
3,233,,,34,16,16,233,3,3,,,,3,1519,,1519,5,5,3,1480,3,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,36,"[{'action_type': 'subscribe_mobile_app', 'value': '48.075'}, {'action_type': 'subscribe_total', 'value': '48.075'}]",2.827941,"[{'action_type': 'outbound_click', 'value': '2.827941'}]",2.827941,6.009375,0.412661,32.05,0.063298,0.063298,19.23,32.05,0.064966,2.670833,28.072993,28.246181,1.051095,2025-12-06,2025-12-06,1.006169,3425,0.992701,34,"[{'action_type': 'outbound_click', 'value': '34'}]","[{'action_type': 'outbound_click', 'value': '0.992701'}]",3404,96.15,126,4,123,1396,583,305
,59,,1,18,8,8,59,,,,,,,503,,503,5,4,,480,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,22,,1.88,"[{'action_type': 'outbound_click', 'value': '1.88'}]",1.88,4.23,0.573559,,0.067276,0.067276,6.768,,0.0705,1.538182,32.444871,33.046875,2.1093,2025-12-06,2025-12-06,1.018555,1043,1.725791,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '1.725791'}]",1024,33.84,52,4,51,451,221,124
,6,,,2,1,1,6,,,,,,,65,,65,,,,63,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,2.105,"[{'action_type': 'outbound_click', 'value': '2.105'}]",2.105,4.21,0.701667,,0.064769,0.064769,,,0.066825,2.105,30.507246,31.185185,1.449275,2025-12-06,2025-12-06,1.022222,138,1.449275,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.449275'}]",135,4.21,8,4,8,57,23,13
,,,,,,,,,,,,,,1,,1,,,,1,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,1,0.01,,4,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0,0,,,0,,0,0,0,2025-12-06,2025-12-06,1,1,,,,,1,0,,3,,,,
,3,,,,,,3,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.003333,,,,,,,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,1,0.01,,3,,,,
,1,,,,,,1,,,,,,,4,,4,,,,4,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.09,,0.0225,0.0225,,,0.0225,,15,18,0,2025-12-06,2025-12-06,1.2,6,,,,,5,0.09,1,4,1,3,1,1
,,,,,,,,,,,,,,,,,,,,,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-06,2025-12-06,1,1,,,,,1,0.02,,3,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,1,,,,,1,0.01,,3,,,,
