action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.04,0.04,,,0.04,,20,20,0,2025-12-09,2025-12-09,1,2,,,,,2,0.04,,4,,1,1,
,2,,,3,,,2,,,,,,,,6,,6,,,,3,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.036667,"[{'action_type': 'outbound_click', 'value': '0.036667'}]",0.036667,,0.055,,0.018333,0.018333,,,0.036667,0.055,15.714286,15.714286,28.571429,2025-12-09,2025-12-09,1,7,42.857143,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '42.857143'}]",7,0.11,2,15,2,3,2,2
,,,,1,,,,,,,,,,,8,,8,,,,7,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.57,"[{'action_type': 'outbound_click', 'value': '0.57'}]",0.57,,,,0.07125,0.07125,,,0.081429,0.57,33.529412,35.625,5.882353,2025-12-09,2025-12-09,1.0625,17,5.882353,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '5.882353'}]",16,0.57,1,4,1,5,4,2
,,,,,,,,,,,,,,,8,,8,,,,8,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06375,0.06375,,,0.06375,,28.333333,28.333333,0,2025-12-09,2025-12-09,1,18,,,,,18,0.51,,3,,8,2,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.23,0.23,,,0.23,,46,46,0,2025-12-09,2025-12-09,1,5,,,,,5,0.23,,3,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-12-09,2025-12-09,1,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,7,,7,,,,7,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.062857,0.062857,,,0.062857,,23.157895,24.444444,0,2025-12-09,2025-12-09,1.055556,19,,,,,18,0.44,,3,,7,4,1
,3,,,3,,,3,,,,,,,,48,,48,,,,45,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,1.003333,"[{'action_type': 'outbound_click', 'value': '1.003333'}]",1.003333,,1.003333,,0.062708,0.062708,,,0.066889,1.003333,21.654676,22.132353,2.158273,2025-12-09,2025-12-09,1.022059,139,2.158273,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '2.158273'}]",136,3.01,6,3,6,43,15,8
,32,,,1,1,1,32,,,2,,,,,305,1,305,3,2,,301,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,"[{'action_type': 'subscribe_mobile_app', 'value': '23.65'}, {'action_type': 'subscribe_total', 'value': '23.65'}, {'action_type': 'start_trial_mobile_app', 'value': '23.65'}, {'action_type': 'start_trial_total', 'value': '23.65'}]",23.65,"[{'action_type': 'outbound_click', 'value': '23.65'}]",23.65,23.65,0.739063,,0.077541,0.077541,7.883333,,0.078571,7.883333,24.738494,25.706522,0.313808,2025-12-09,2025-12-09,1.03913,956,0.104603,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.104603'}]",920,23.65,18,3,18,285,106,50
,117,,,18,8,8,117,,,6,,,,,973,,973,6,6,,949,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,20,,4.316667,"[{'action_type': 'outbound_click', 'value': '4.316667'}]",4.316667,9.7125,0.664103,,0.079856,0.079856,12.95,,0.081876,3.885,33.448127,34.13884,0.860956,2025-12-09,2025-12-09,1.02065,2323,0.77486,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '0.77486'}]",2276,77.7,75,4,74,904,383,184
,45,1,,11,10,10,45,,,2,,,,,381,,381,2,2,,368,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,,2.596364,"[{'action_type': 'outbound_click', 'value': '2.596364'}]",2.596364,2.856,0.634667,,0.074961,0.074961,14.28,,0.077609,2.38,34.534462,35.566625,1.451028,2025-12-09,2025-12-09,1.029888,827,1.330109,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '1.330109'}]",803,28.56,37,4,37,348,149,77
,,,,2,,,,,,,,,,,52,,52,,,,50,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,1.685,"[{'action_type': 'outbound_click', 'value': '1.685'}]",1.685,,,,0.064808,0.064808,,,0.0674,1.685,34.387755,34.742268,2.040816,2025-12-09,2025-12-09,1.010309,98,2.040816,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '2.040816'}]",97,3.37,6,4,6,48,22,10
