action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,100,100,0,2025-12-13,2025-12-13,1,1,,,,,1,0.1,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.08,0.08,,,0.08,,8.888889,10,0,2025-12-13,2025-12-13,1.125,9,,,,,8,0.08,,1,,1,,
,,,,,,,,,,,,,,,,8,,8,,,,8,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.03,0.03,,,0.03,,20,20,0,2025-12-13,2025-12-13,1,12,,,,,12,0.24,1,5,1,8,3,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.03,0.03,,,0.03,,20,20,0,2025-12-13,2025-12-13,1,3,,,,,3,0.06,,3,,2,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.04,0.04,,,0.04,,13.333333,13.333333,0,2025-12-13,2025-12-13,1,6,,,,,6,0.08,,3,,2,1,
,,,,1,,,,,,,,,,,,3,,3,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.43,"[{'action_type': 'outbound_click', 'value': '0.43'}]",0.43,,,,,0.143333,0.143333,,,0.215,0.43,28.666667,28.666667,6.666667,2025-12-13,2025-12-13,1,15,6.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.666667'}]",15,0.43,2,3,2,2,2,2
,,,,,,,,,,,,,,,,8,,8,,,,8,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.0575,0.0575,,,0.0575,,28.75,28.75,0,2025-12-13,2025-12-13,1,16,,,,,16,0.46,,3,,7,1,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.015,0.015,,,0.015,,10,10,0,2025-12-13,2025-12-13,1,3,,,,,3,0.03,1,6,,2,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-13,2025-12-13,1,2,,,,,2,0.02,,4,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,,0,0,0,2025-12-13,2025-12-13,1,4,,,,,4,0,,1,,,,
,,,,,,,,,,,,,,,,8,,8,,,,8,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.0325,0.0325,,,0.0325,,14.444444,14.444444,0,2025-12-13,2025-12-13,1,18,,,,,18,0.26,,3,,8,2,
,1,,,1,,,1,,,,,,,,,37,,37,,,,36,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.74,"[{'action_type': 'outbound_click', 'value': '2.74'}]",2.74,,2.74,,,0.074054,0.074054,,,0.076111,2.74,18.026316,18.513514,0.657895,2025-12-13,2025-12-13,1.027027,152,0.657895,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.657895'}]",148,2.74,7,3,7,36,15,12
,13,,,2,2,2,13,,,,1,,,,,305,,305,1,1,,302,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,,12.08,"[{'action_type': 'outbound_click', 'value': '12.08'}]",12.08,12.08,1.858462,,,0.079213,0.079213,24.16,,0.08,4.832,27.330317,27.330317,0.565611,2025-12-13,2025-12-13,1,884,0.226244,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '0.226244'}]",884,24.16,23,3,22,275,103,58
