action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,50,50,0,2025-12-14,2025-12-14,1,1,,,,,1,0.05,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-14,2025-12-14,1,1,,,,,1,0.01,,3,,1,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,2.857143,3.333333,0,2025-12-14,2025-12-14,1.166667,7,,,,,6,0.02,,2,,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,33.333333,33.333333,0,2025-12-14,2025-12-14,1,3,,,,,3,0.1,,1,,,,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.195,0.195,,,0.195,,32.5,32.5,0,2025-12-14,2025-12-14,1,24,,,,,24,0.78,,2,,4,1,
,1,,,,,,1,,,,,,,,,6,,6,,,,6,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.66,,0.11,0.11,,,0.11,,16.5,16.5,0,2025-12-14,2025-12-14,1,40,,,,,40,0.66,1,2,1,6,2,1
,,,,,,,,,,1,,,,,,23,,23,1,1,,22,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.107826,0.107826,2.48,,0.112727,,40,41.333333,0,2025-12-14,2025-12-14,1.033333,62,,,,,60,2.48,2,3,2,20,9,4
,,,,,,,,,,,,,,,,6,,6,,,,6,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.095,0.095,,,0.095,,25.909091,27.142857,0,2025-12-14,2025-12-14,1.047619,22,,,,,21,0.57,,3,,6,2,1
,,,,,,,,,,,,,,,,3,,3,,,,3,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.016667,0.016667,,,0.016667,,12.5,12.5,0,2025-12-14,2025-12-14,1,4,,,,,4,0.05,,5,,3,1,
,,,,,,,,,,1,,,,,,18,,18,1,1,,17,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.006667,0.006667,0.12,,0.007059,,2.033898,2.5,0,2025-12-14,2025-12-14,1.229167,59,,,,,48,0.12,2,3,2,17,9,4
