action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,age,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,130,130,0,2025-12-15,2025-12-15,1,1,,,,,1,0.13,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,2,,,,,2,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-15,2025-12-15,1,1,,,,,1,0.02,,4,,1,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.005,0.005,,,0.005,,1,1.111111,0,2025-12-15,2025-12-15,1.111111,10,,,,,9,0.01,,2,,2,,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.08,0.08,,,0.08,,14.545455,17.777778,0,2025-12-15,2025-12-15,1.222222,11,,,,,9,0.16,2,4,2,2,2,2
,,,,1,,,,,,,,,,,,7,,7,,,,6,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.49,"[{'action_type': 'outbound_click', 'value': '0.49'}]",0.49,,,,0.07,0.07,,,0.081667,0.49,18.846154,19.6,3.846154,2025-12-15,2025-12-15,1.04,26,3.846154,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.846154'}]",25,0.49,,2,,6,1,
,,1,,1,,,,,,,,,,,,28,,28,,,,27,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.45,"[{'action_type': 'outbound_click', 'value': '1.45'}]",1.45,,,,0.051786,0.051786,,,0.053704,1.45,23.015873,24.576271,1.587302,2025-12-15,2025-12-15,1.067797,63,1.587302,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.587302'}]",59,1.45,4,3,4,27,9,5
,,,,1,,,,,,,,,,,,30,,30,,,,29,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.8,"[{'action_type': 'outbound_click', 'value': '2.8'}]",2.8,,,,0.093333,0.093333,,,0.096552,2.8,27.45098,28.865979,0.980392,2025-12-15,2025-12-15,1.051546,102,0.980392,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.980392'}]",97,2.8,1,3,1,29,15,8
,,,,,,,,,,,,,,,,16,,16,,,,16,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.118125,0.118125,,,0.118125,,37.8,41.086957,0,2025-12-15,2025-12-15,1.086957,50,,,,,46,1.89,4,4,4,16,8,5
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.22,0.22,,,0.22,,44,55,0,2025-12-15,2025-12-15,1.25,5,,,,,4,0.22,,4,,1,1,
,,,,,,,,,,,,,,,,14,,14,,,,14,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,13-17,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.004286,0.004286,,,0.004286,,1.153846,1.463415,0,2025-12-15,2025-12-15,1.268293,52,,,,,41,0.06,1,3,1,13,7,2
,,,,,,,,,,,,,,,,12,,12,,,,12,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,18-24,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.054167,0.054167,,,0.054167,,15.853659,16.25,0,2025-12-15,2025-12-15,1.025,41,,,,,40,0.65,,3,,12,5,3
,,,,1,,,,,,,,,,,,87,2,87,2,,,84,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,25-34,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,5.23,"[{'action_type': 'outbound_click', 'value': '5.23'}]",5.23,,,,0.060115,0.060115,2.615,,0.062262,2.615,17.260726,18.678571,0.660066,2025-12-15,2025-12-15,1.082143,303,0.330033,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.330033'}]",280,5.23,10,3,10,80,36,22
,34,,,4,2,2,34,,,,1,,,,,395,1,395,2,1,,389,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,35-44,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,,5.525,"[{'action_type': 'outbound_click', 'value': '5.525'}]",5.525,11.05,0.65,,0.055949,0.055949,11.05,,0.056812,5.525,17.765273,18.953688,0.321543,2025-12-15,2025-12-15,1.066895,1244,0.321543,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.321543'}]",1166,22.1,31,3,30,368,127,60
,11,,,14,3,3,11,,,,1,1,1,,,927,,927,2,1,,911,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,45-54,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,17,,3.449286,"[{'action_type': 'outbound_click', 'value': '3.449286'}]",3.449286,16.096667,4.39,,0.052093,0.052093,24.145,,0.053008,2.840588,21.348364,22.161542,0.751547,2025-12-15,2025-12-15,1.038091,2262,0.618921,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '0.618921'}]",2179,48.29,84,3,82,857,329,182
,19,,,10,3,3,19,,,,3,,,,,398,,398,3,3,,385,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,55-64,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,13,,1.992,"[{'action_type': 'outbound_click', 'value': '1.992'}]",1.992,6.64,1.048421,,0.05005,0.05005,6.64,,0.05174,1.532308,22.059801,22.975779,1.439646,2025-12-15,2025-12-15,1.041522,903,1.10742,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.10742'}]",867,19.92,37,4,37,367,149,84
,,,,,,,,,,,1,,,,,74,,74,1,1,,73,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,65+,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.061081,0.061081,4.52,,0.061918,,27.393939,28.974359,0,2025-12-15,2025-12-15,1.057692,165,,,,,156,4.52,14,4,14,72,35,24
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,Unknown,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,3.333333,3.333333,0,2025-12-15,2025-12-15,1,3,,,,,3,0.01,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,60,60,0,2025-12-15,2025-12-15,1,1,,,,,1,0.06,,1,,,,
,,,,,,,,,,,,,,,,9,,9,,,,9,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,18-24,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,,,,,,,0.082222,0.082222,,,0.082222,0.74,20,20,2.702703,2025-12-15,2025-12-15,1,37,,,,,37,0.74,,2,,9,3,1
,8,,,5,,,8,,,,1,,,,,149,,149,1,1,,143,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,25-34,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,5,,1.848,"[{'action_type': 'outbound_click', 'value': '1.848'}]",1.848,,1.155,,0.062013,0.062013,9.24,,0.064615,1.848,17.803468,18.26087,0.963391,2025-12-15,2025-12-15,1.025692,519,0.963391,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.963391'}]",506,9.24,12,4,12,140,62,32
,76,1,,18,10,10,76,,,,4,,,,,561,,561,4,4,,539,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,35-44,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,17,"[{'action_type': 'subscribe_mobile_app', 'value': '14.78'}, {'action_type': 'subscribe_total', 'value': '14.78'}]",1.642222,"[{'action_type': 'outbound_click', 'value': '1.642222'}]",1.642222,2.956,0.388947,,0.052692,0.052692,7.39,,0.054842,1.738824,19.878951,20.613668,1.143241,2025-12-15,2025-12-15,1.03696,1487,1.210491,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '1.210491'}]",1434,29.56,64,3,61,515,242,137
