action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,27,,27,,,,27,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.042222,0.042222,,,0.042222,,16.056338,16.056338,0,2025-11-29,2025-11-29,1,female,71,,,,,71,1.14,3,4,3,27,12,7
,10,,,10,,,10,,,,,,246,,246,4,4,,232,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,10,,0.652,"[{'action_type': 'outbound_click', 'value': '0.652'}]",0.652,,0.652,,0.026504,0.026504,1.63,,0.028103,0.652,11.876138,11.876138,1.821494,2025-11-29,2025-11-29,1,male,549,1.821494,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.821494'}]",549,6.52,35,4,34,222,105,64
,,,,,,,,,,,,,1,,1,,,,1,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,6.666667,6.666667,0,2025-11-29,2025-11-29,1,unknown,3,,,,,3,0.02,1,8,1,1,1,1
,,1,,6,,,,,,,,,191,,191,,,,185,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,6,,0.678333,"[{'action_type': 'outbound_click', 'value': '0.678333'}]",0.678333,,,,0.021309,0.021309,,,0.022,0.678333,10.409207,11.089918,1.534527,2025-11-29,2025-11-29,1.065395,female,391,1.534527,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.534527'}]",367,4.07,18,4,18,179,78,39
,566,3,1,114,48,48,566,,,,,,3885,,3885,19,18,,3752,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,115,"[{'action_type': 'subscribe_mobile_app', 'value': '18.97'}, {'action_type': 'subscribe_total', 'value': '18.97'}, {'action_type': 'start_trial_mobile_app', 'value': '25.293333'}, {'action_type': 'start_trial_total', 'value': '25.293333'}]",0.665614,"[{'action_type': 'outbound_click', 'value': '0.665614'}]",0.665614,1.580833,0.134064,,0.019532,0.019532,3.993684,,0.020224,0.659826,9.122385,9.821382,1.382544,2025-11-29,2025-11-29,1.076624,male,8318,1.370522,114,"[{'action_type': 'outbound_click', 'value': '114'}]","[{'action_type': 'outbound_click', 'value': '1.370522'}]",7726,75.88,321,4,293,3552,1562,857
,,,,3,,,,,,,,,40,,40,1,1,,36,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,3,,0.21,"[{'action_type': 'outbound_click', 'value': '0.21'}]",0.21,,,,0.01575,0.01575,0.63,,0.0175,0.21,7.974684,8.513514,3.797468,2025-11-29,2025-11-29,1.067568,unknown,79,3.797468,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '3.797468'}]",74,0.63,5,4,4,36,13,9
,21,,,3,1,1,21,,,,,,161,1,161,3,2,,155,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,5.23,"[{'action_type': 'outbound_click', 'value': '5.23'}]",5.23,15.69,0.747143,,0.097453,0.097453,5.23,,0.101226,5.23,36.830986,38.933002,0.704225,2025-11-29,2025-11-29,1.057072,female,426,0.704225,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.704225'}]",403,15.69,33,4,31,148,70,55
1,457,1,1,79,21,21,457,1,1,,,1,1687,,1687,7,6,1,1601,1,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,75,"[{'action_type': 'subscribe_mobile_app', 'value': '28.6075'}, {'action_type': 'subscribe_total', 'value': '28.6075'}, {'action_type': 'start_trial_mobile_app', 'value': '19.071667'}, {'action_type': 'start_trial_total', 'value': '19.071667'}]",1.448481,"[{'action_type': 'outbound_click', 'value': '1.467051'}]",1.448481,5.449048,0.250394,114.43,0.06783,0.06783,16.347143,114.43,0.071474,1.525733,24.629789,26.113647,1.614292,2025-11-29,2025-11-29,1.060246,male,4646,1.700387,79,"[{'action_type': 'outbound_click', 'value': '78'}]","[{'action_type': 'outbound_click', 'value': '1.678864'}]",4382,114.43,218,4,210,1533,783,457
,4,,,2,1,1,4,,,,,,18,,18,,,,16,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.635,"[{'action_type': 'outbound_click', 'value': '0.635'}]",0.635,1.27,0.3175,,0.070556,0.070556,,,0.079375,0.635,30.97561,32.564103,4.878049,2025-11-29,2025-11-29,1.051282,unknown,41,4.878049,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '4.878049'}]",39,1.27,3,4,3,13,10,5
,31,,,10,3,3,31,,,,,,357,,357,4,4,,343,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,11,,2.707,"[{'action_type': 'outbound_click', 'value': '2.707'}]",2.707,9.023333,0.873226,,0.075826,0.075826,6.7675,,0.078921,2.460909,27.097097,28.34555,1.101101,2025-11-29,2025-11-29,1.046073,female,999,1.001001,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.001001'}]",955,27.07,23,3,21,325,128,63
,672,1,1,85,41,41,672,,,,,,3769,2,3769,13,10,,3671,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,85,"[{'action_type': 'subscribe_mobile_app', 'value': '28.487143'}, {'action_type': 'subscribe_total', 'value': '28.487143'}, {'action_type': 'start_trial_mobile_app', 'value': '13.294'}, {'action_type': 'start_trial_total', 'value': '13.294'}]",2.346,"[{'action_type': 'outbound_click', 'value': '2.346'}]",2.346,4.863659,0.296741,,0.052908,0.052908,15.339231,,0.05432,2.346,19.264805,20.589572,0.821177,2025-11-29,2025-11-29,1.068766,male,10351,0.821177,85,"[{'action_type': 'outbound_click', 'value': '85'}]","[{'action_type': 'outbound_click', 'value': '0.821177'}]",9685,199.41,302,4,277,3476,1371,737
,1,,,1,,,1,,,,,,43,,43,,,,42,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.13,"[{'action_type': 'outbound_click', 'value': '2.13'}]",2.13,,2.13,,0.049535,0.049535,,,0.050714,2.13,19.017857,21.3,0.892857,2025-11-29,2025-11-29,1.12,unknown,112,0.892857,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.892857'}]",100,2.13,1,3,1,38,15,9
,,,,,,,,,,,,,1,,1,,,,1,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.12,0.12,,,0.12,,40,40,0,2025-11-29,2025-11-29,1,male,3,,,,,3,0.12,,6,,1,1,
,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-11-29,2025-11-29,1,female,3,,,,,3,0.06,,2,,1,,
,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,13.333333,13.333333,0,2025-11-29,2025-11-29,1,male,3,,,,,3,0.04,,1,,,,
,97,1,,19,7,7,97,,,,,,680,,680,3,3,,658,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,19,"[{'action_type': 'subscribe_mobile_app', 'value': '20.28'}, {'action_type': 'subscribe_total', 'value': '20.28'}, {'action_type': 'start_trial_mobile_app', 'value': '60.84'}, {'action_type': 'start_trial_total', 'value': '60.84'}]",3.202105,"[{'action_type': 'outbound_click', 'value': '3.202105'}]",3.202105,8.691429,0.627216,,0.089471,0.089471,20.28,,0.092462,3.202105,27.417756,29.264069,0.856242,2025-11-29,2025-11-29,1.06734,female,2219,0.856242,19,"[{'action_type': 'outbound_click', 'value': '19'}]","[{'action_type': 'outbound_click', 'value': '0.856242'}]",2079,60.84,69,3,63,622,254,140
,437,1,,56,28,28,437,,,,,,1997,,1997,9,9,,1932,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,56,"[{'action_type': 'subscribe_mobile_app', 'value': '27.752'}, {'action_type': 'subscribe_total', 'value': '27.752'}, {'action_type': 'start_trial_mobile_app', 'value': '13.876'}, {'action_type': 'start_trial_total', 'value': '13.876'}]",2.477857,"[{'action_type': 'outbound_click', 'value': '2.477857'}]",2.477857,4.955714,0.317529,,0.069484,0.069484,15.417778,,0.071822,2.477857,22.294344,23.598639,0.899743,2025-11-29,2025-11-29,1.058503,male,6224,0.899743,56,"[{'action_type': 'outbound_click', 'value': '56'}]","[{'action_type': 'outbound_click', 'value': '0.899743'}]",5880,138.76,185,3,175,1829,808,438
,1,,,1,,,1,,,,,,20,,20,,,,19,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,1.75,"[{'action_type': 'outbound_click', 'value': '1.75'}]",1.75,,1.75,,0.0875,0.0875,,,0.092105,1.75,21.084337,24.305556,1.204819,2025-11-29,2025-11-29,1.152778,unknown,83,1.204819,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.204819'}]",72,1.75,2,2,2,19,9,3
,158,,,24,12,12,158,,,,,,432,1,432,9,8,,399,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,22,"[{'action_type': 'subscribe_mobile_app', 'value': '20.455'}, {'action_type': 'subscribe_total', 'value': '20.455'}, {'action_type': 'start_trial_mobile_app', 'value': '10.2275'}, {'action_type': 'start_trial_total', 'value': '10.2275'}]",1.704583,"[{'action_type': 'outbound_click', 'value': '1.704583'}]",1.704583,3.409167,0.258924,,0.094699,0.094699,4.545556,,0.102531,1.859545,31.086626,32.991935,1.671733,2025-11-29,2025-11-29,1.06129,female,1316,1.823708,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '1.823708'}]",1240,40.91,63,3,59,374,185,108
,388,1,,66,18,18,388,,,,,,1384,4,1384,15,11,,1303,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,65,"[{'action_type': 'subscribe_mobile_app', 'value': '116.53'}, {'action_type': 'subscribe_total', 'value': '116.53'}, {'action_type': 'start_trial_mobile_app', 'value': '10.593636'}, {'action_type': 'start_trial_total', 'value': '10.593636'}]",1.765606,"[{'action_type': 'outbound_click', 'value': '1.792769'}]",1.765606,6.473889,0.300335,,0.084198,0.084198,7.768667,,0.089432,1.792769,25.775271,26.005356,1.437735,2025-11-29,2025-11-29,1.008927,male,4521,1.459854,66,"[{'action_type': 'outbound_click', 'value': '65'}]","[{'action_type': 'outbound_click', 'value': '1.437735'}]",4481,116.53,179,3,172,1233,632,362
,,,1,2,,,,,,,,,24,,24,2,1,,20,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.71,"[{'action_type': 'outbound_click', 'value': '0.71'}]",0.71,,,,0.059167,0.059167,0.71,,0.071,1.42,25.357143,26.296296,1.785714,2025-11-29,2025-11-29,1.037037,unknown,56,3.571429,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '3.571429'}]",54,1.42,4,4,4,20,11,7
,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,25,25,0,2025-11-29,2025-11-29,1,female,4,,,,,4,0.1,,1,,,,
,6,,,1,1,1,6,,,,,,6,,6,,,,5,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.83,"[{'action_type': 'outbound_click', 'value': '0.83'}]",0.83,0.83,0.138333,,0.138333,0.138333,,,0.166,0.83,69.166667,75.454545,8.333333,2025-11-29,2025-11-29,1.090909,male,12,8.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '8.333333'}]",11,0.83,1,4,1,5,1,1
