action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,male,1,,,,,1,0.01,,1,,,,
,,,,2,,,,,,,,,,67,,67,1,1,,64,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,2,,1.02,"[{'action_type': 'outbound_click', 'value': '1.02'}]",1.02,,,,0.030448,0.030448,2.04,,0.031875,1.02,13.877551,13.877551,1.360544,2025-11-30,2025-11-30,1,female,147,1.360544,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1.360544'}]",147,2.04,15,4,14,59,32,20
,90,,,29,7,7,90,,,,,,,637,,637,8,8,,600,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,31,"[{'action_type': 'start_trial_mobile_app', 'value': '17.18'}, {'action_type': 'start_trial_total', 'value': '17.18'}]",0.592414,"[{'action_type': 'outbound_click', 'value': '0.592414'}]",0.592414,2.454286,0.190889,,0.02697,0.02697,2.1475,,0.028633,0.554194,12.368611,12.888222,2.231821,2025-11-30,2025-11-30,1.042011,male,1389,2.087833,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '2.087833'}]",1333,17.18,101,4,92,569,316,194
,,,,,,,,,,,,,,2,,2,,,,2,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.025,0.025,,,0.025,,16.666667,16.666667,0,2025-11-30,2025-11-30,1,unknown,3,,,,,3,0.05,,4,,2,1,
,,,,5,,,,,,,1,1,,191,,191,6,5,,180,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,5,,0.986,"[{'action_type': 'outbound_click', 'value': '0.986'}]",0.986,,,,0.025812,0.025812,0.821667,,0.027389,0.986,11.682464,11.822542,1.184834,2025-11-30,2025-11-30,1.01199,female,422,1.184834,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '1.184834'}]",417,4.93,10,3,9,172,74,41
,521,1,,88,39,39,521,,,,1,1,,3590,,3590,24,23,,3478,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,87,"[{'action_type': 'subscribe_mobile_app', 'value': '24.696667'}, {'action_type': 'subscribe_total', 'value': '24.696667'}, {'action_type': 'start_trial_mobile_app', 'value': '24.696667'}, {'action_type': 'start_trial_total', 'value': '24.696667'}]",0.841932,"[{'action_type': 'outbound_click', 'value': '0.841932'}]",0.841932,1.899744,0.142207,,0.020638,0.020638,3.087083,,0.021302,0.851609,9.855015,10.109155,1.157223,2025-11-30,2025-11-30,1.025788,male,7518,1.170524,88,"[{'action_type': 'outbound_click', 'value': '88'}]","[{'action_type': 'outbound_click', 'value': '1.170524'}]",7329,74.09,320,4,298,3293,1462,786
,,,,1,,,,,,,,,,36,,36,,,,35,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,1,,0.65,"[{'action_type': 'outbound_click', 'value': '0.65'}]",0.65,,,,0.018056,0.018056,,,0.018571,0.65,10,10.31746,1.538462,2025-11-30,2025-11-30,1.031746,unknown,65,1.538462,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.538462'}]",63,0.65,6,5,5,35,18,11
,,,,,,,,,,,,,,,,,,,,,,6913358999384,jesus_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,male,2,,,,,2,0,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.06,0.06,,,0.06,,20,20,0,2025-11-30,2025-11-30,1,male,3,,,,,3,0.06,,2,,1,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.08,0.08,,,0.08,,20,20,0,2025-11-30,2025-11-30,1,male,4,,,,,4,0.08,1,4,1,1,1,1
