action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,female,1,,,,,1,0.01,,6,,1,1,
,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-06,2025-12-06,1,male,1,,,,,1,0,,3,,,,
1,62,,,16,7,7,62,1,1,,,,1,324,,324,2,2,1,306,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,17,"[{'action_type': 'subscribe_mobile_app', 'value': '29.33'}, {'action_type': 'subscribe_total', 'value': '29.33'}]",1.833125,"[{'action_type': 'outbound_click', 'value': '1.833125'}]",1.833125,4.19,0.473065,29.33,0.090525,0.090525,14.665,29.33,0.09585,1.725294,37.079646,38.592105,2.149178,2025-12-06,2025-12-06,1.040789,female,791,2.022756,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '2.022756'}]",760,29.33,25,3,25,286,124,57
2,298,,1,54,24,24,298,2,2,1,1,,2,2610,,2610,14,12,2,2542,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,59,"[{'action_type': 'subscribe_mobile_app', 'value': '160.28'}, {'action_type': 'subscribe_total', 'value': '160.28'}]",2.968148,"[{'action_type': 'outbound_click', 'value': '2.968148'}]",2.968148,6.678333,0.537852,80.14,0.06141,0.06141,11.448571,80.14,0.063053,2.71661,25.185418,26.340181,0.92709,2025-12-06,2025-12-06,1.04585,male,6364,0.848523,54,"[{'action_type': 'outbound_click', 'value': '54'}]","[{'action_type': 'outbound_click', 'value': '0.848523'}]",6085,160.28,223,3,217,2391,1010,540
,,,,,,,,,,,,,,31,,31,,,,31,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,,,,,,,0.057419,0.057419,,,0.057419,1.78,27.384615,28.253968,1.538462,2025-12-06,2025-12-06,1.031746,unknown,65,,,,,63,1.78,2,5,2,31,10,6
,,,,,,,,,,,,,,1,,1,,,,1,,6916164484784,04 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,female,1,,,,,1,0.01,,4,,1,,
,4,,,,,,4,,,,,,,4,,4,,,,4,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.025,,0.025,0.025,,,0.025,,14.285714,16.666667,0,2025-12-06,2025-12-06,1.166667,female,7,,,,,6,0.1,1,4,1,3,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-06,2025-12-06,1,male,2,,,,,2,0.02,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-06,2025-12-06,1,female,1,,,,,1,0.01,,3,,,,
6,664,,,113,61,61,664,6,6,10,10,,6,2756,7,2756,51,34,6,2592,6,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,132,"[{'action_type': 'subscribe_mobile_app', 'value': '57.435'}, {'action_type': 'subscribe_total', 'value': '57.435'}]",2.033097,"[{'action_type': 'outbound_click', 'value': '2.033097'}]",2.033097,3.76623,0.345994,38.29,0.08336,0.08336,4.504706,38.29,0.088634,1.740455,33.955069,36.426193,1.950931,2025-12-06,2025-12-06,1.072776,female,6766,1.670115,113,"[{'action_type': 'outbound_click', 'value': '113'}]","[{'action_type': 'outbound_click', 'value': '1.670115'}]",6307,229.74,305,4,297,2364,1295,806
