action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,31,,,8,5,5,31,,,2,,,,,292,,292,2,2,,282,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,8,,3.015,"[{'action_type': 'outbound_click', 'value': '3.015'}]",3.015,4.824,0.778065,,0.082603,0.082603,12.06,,0.085532,3.015,35.892857,35.892857,1.190476,2025-12-10,2025-12-10,1,female,672,1.190476,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.190476'}]",672,24.12,30,4,30,265,113,63
,209,,,22,19,19,209,,,3,2,2,,,1210,1,1210,6,3,,1182,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,27,"[{'action_type': 'subscribe_mobile_app', 'value': '15.992'}, {'action_type': 'subscribe_total', 'value': '15.992'}, {'action_type': 'start_trial_mobile_app', 'value': '19.99'}, {'action_type': 'start_trial_total', 'value': '19.99'}]",3.634545,"[{'action_type': 'outbound_click', 'value': '3.634545'}]",3.634545,4.208421,0.382584,,0.066083,0.066083,13.326667,,0.067648,2.961481,25.868651,26.268068,0.873504,2025-12-10,2025-12-10,1.01544,male,3091,0.711744,22,"[{'action_type': 'outbound_click', 'value': '22'}]","[{'action_type': 'outbound_click', 'value': '0.711744'}]",3044,79.96,104,4,103,1117,466,240
,,,,,,,,,,,,,,,18,,18,,,,18,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.053889,0.053889,,,0.053889,,27.714286,28.529412,0,2025-12-10,2025-12-10,1.029412,unknown,35,,,,,34,0.97,,3,,18,5,2
,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,53.333333,53.333333,0,2025-12-10,2025-12-10,1,male,3,,,,,3,0.16,,1,,,,
,50,,,4,2,2,50,,,,,,,,92,,92,,,,88,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,4,"[{'action_type': 'subscribe_mobile_app', 'value': '5.78'}, {'action_type': 'subscribe_total', 'value': '5.78'}, {'action_type': 'start_trial_mobile_app', 'value': '2.89'}, {'action_type': 'start_trial_total', 'value': '2.89'}]",1.445,"[{'action_type': 'outbound_click', 'value': '1.445'}]",1.445,2.89,0.1156,,0.062826,0.062826,,,0.065682,1.445,24.700855,25.688889,1.709402,2025-12-10,2025-12-10,1.04,female,234,1.709402,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.709402'}]",225,5.78,11,7,11,87,40,26
,58,,,3,3,3,58,,,1,,,,,132,,132,1,1,,128,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,3,,2.383333,"[{'action_type': 'outbound_click', 'value': '2.383333'}]",2.383333,2.383333,0.123276,,0.054167,0.054167,7.15,,0.055859,2.383333,20.906433,21.029412,0.877193,2025-12-10,2025-12-10,1.005882,male,342,0.877193,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.877193'}]",340,7.15,10,8,9,120,50,32
,9,,,1,1,1,9,,,,,,,,4,,4,,,,3,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.13,"[{'action_type': 'outbound_click', 'value': '0.13'}]",0.13,0.13,0.014444,,0.0325,0.0325,,,0.043333,0.13,21.666667,21.666667,16.666667,2025-12-10,2025-12-10,1,unknown,6,16.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '16.666667'}]",6,0.13,1,5,1,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-10,2025-12-10,1,male,1,,,,,1,0.01,,1,,,,
,102,,,23,9,9,102,,,4,,,,,451,1,451,5,4,,423,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,24,,1.4,"[{'action_type': 'outbound_click', 'value': '1.4'}]",1.4,3.577778,0.315686,,0.071397,0.071397,6.44,,0.076123,1.341667,27.830596,29.087624,2.07433,2025-12-10,2025-12-10,1.045167,female,1157,1.9879,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '1.9879'}]",1107,32.2,61,3,61,398,182,113
,260,1,,56,28,28,260,,,12,,,,,1304,,1304,12,12,,1236,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,54,"[{'action_type': 'subscribe_mobile_app', 'value': '46.835'}, {'action_type': 'subscribe_total', 'value': '46.835'}, {'action_type': 'start_trial_mobile_app', 'value': '18.734'}, {'action_type': 'start_trial_total', 'value': '18.734'}]",1.672679,"[{'action_type': 'outbound_click', 'value': '1.672679'}]",1.672679,3.345357,0.360269,,0.071833,0.071833,7.805833,,0.075785,1.73463,23.792228,25.481502,1.371603,2025-12-10,2025-12-10,1.071001,male,3937,1.422403,56,"[{'action_type': 'outbound_click', 'value': '56'}]","[{'action_type': 'outbound_click', 'value': '1.422403'}]",3676,93.67,196,3,187,1185,591,366
