action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,3,,3,,,,3,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.043333,0.043333,,,0.043333,,18.571429,18.571429,0,2025-12-13,2025-12-13,1,female,7,,,,,7,0.13,1,3,1,3,1,1
,,,,,,,,,,,,,,,,8,,8,,,,8,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.04375,0.04375,,,0.04375,,18.421053,19.444444,0,2025-12-13,2025-12-13,1.055556,male,19,,,,,18,0.35,,3,,8,2,
,,,,1,,,,,,,,,,,,7,,7,,,,6,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.52,"[{'action_type': 'outbound_click', 'value': '0.52'}]",0.52,,,,,0.074286,0.074286,,,0.086667,0.52,32.5,32.5,6.25,2025-12-13,2025-12-13,1,female,16,6.25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.25'}]",16,0.52,1,4,1,6,1,1
,,,,,,,,,,,,,,,,9,,9,,,,9,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.055556,0.055556,,,0.055556,,19.230769,19.230769,0,2025-12-13,2025-12-13,1,male,26,,,,,26,0.5,2,3,1,8,5,2
1,83,,,7,2,2,83,1,1,,,,,,1,236,,236,,,1,229,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '6.86'}, {'action_type': 'subscribe_total', 'value': '6.86'}, {'action_type': 'start_trial_mobile_app', 'value': '10.29'}, {'action_type': 'start_trial_total', 'value': '10.29'}]",2.94,"[{'action_type': 'outbound_click', 'value': '2.94'}]",2.94,10.29,0.247952,20.58,,0.087203,0.087203,,20.58,0.089869,2.94,38.040665,38.903592,1.2939,2025-12-13,2025-12-13,1.022684,female,541,1.2939,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '1.2939'}]",529,20.58,20,4,20,208,89,47
1,157,,,11,9,9,157,1,1,,2,,,,1,1116,,1116,2,2,1,1103,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,15,"[{'action_type': 'subscribe_mobile_app', 'value': '18.56'}, {'action_type': 'subscribe_total', 'value': '18.56'}, {'action_type': 'start_trial_mobile_app', 'value': '18.56'}, {'action_type': 'start_trial_total', 'value': '18.56'}]",6.749091,"[{'action_type': 'outbound_click', 'value': '6.749091'}]",6.749091,8.248889,0.472866,74.24,,0.066523,0.066523,37.12,74.24,0.067307,4.949333,26.98655,27.805243,0.545256,2025-12-13,2025-12-13,1.030337,male,2751,0.399855,11,"[{'action_type': 'outbound_click', 'value': '11'}]","[{'action_type': 'outbound_click', 'value': '0.399855'}]",2670,74.24,88,3,86,1025,418,228
,2,,,,,,2,,,,,,,,,14,,14,,,,14,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.53,,,0.075714,0.075714,,,0.075714,,31.176471,31.176471,0,2025-12-13,2025-12-13,1,unknown,34,,,,,34,1.06,3,3,2,11,3,3
,159,2,,25,10,10,159,,,,6,,,,,633,,633,6,6,,602,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,24,"[{'action_type': 'subscribe_mobile_app', 'value': '11.0525'}, {'action_type': 'subscribe_total', 'value': '11.0525'}, {'action_type': 'start_trial_mobile_app', 'value': '8.842'}, {'action_type': 'start_trial_total', 'value': '8.842'}]",1.7684,"[{'action_type': 'outbound_click', 'value': '1.7684'}]",1.7684,4.421,0.27805,,,0.069842,0.069842,7.368333,,0.073439,1.842083,25.975323,26.973764,1.410106,2025-12-13,2025-12-13,1.038438,female,1702,1.46886,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.46886'}]",1639,44.21,62,3,61,570,266,153
,282,1,,30,23,23,282,,,,2,1,1,,,946,,946,3,2,,913,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,30,"[{'action_type': 'subscribe_mobile_app', 'value': '7.314286'}, {'action_type': 'subscribe_total', 'value': '7.314286'}, {'action_type': 'start_trial_mobile_app', 'value': '5.688889'}, {'action_type': 'start_trial_total', 'value': '5.688889'}]",1.706667,"[{'action_type': 'outbound_click', 'value': '1.706667'}]",1.706667,2.226087,0.18156,,,0.054123,0.054123,17.066667,,0.056079,1.706667,22.574956,23.347013,1.322751,2025-12-13,2025-12-13,1.0342,male,2268,1.322751,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '1.322751'}]",2193,51.2,119,4,109,877,452,264
,,,,,,,,,,,,,,,,16,,16,,,,16,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,0.081875,0.081875,,,0.081875,,28.478261,29.772727,0,2025-12-13,2025-12-13,1.045455,unknown,46,,,,,44,1.31,1,3,1,14,7,4
