action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-14,2025-12-14,1,male,2,,,,,2,0.06,,2,,1,,
,1,,,,,,1,,,,,,,,,7,,7,,,,7,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,1.01,,0.144286,0.144286,,,0.144286,,50.5,50.5,0,2025-12-14,2025-12-14,1,female,20,,,,,20,1.01,1,3,1,7,2,1
,,,,,,,,,,1,,,,,,37,,37,1,1,,36,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.098649,0.098649,3.65,,0.101389,,25.704225,26.449275,0,2025-12-14,2025-12-14,1.028986,male,142,,,,,138,3.65,2,2,2,34,14,5
,23,,,4,,,23,,,2,,,,,,234,,234,2,2,,228,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,,4.685,"[{'action_type': 'outbound_click', 'value': '4.685'}]",4.685,,0.814783,,0.080085,0.080085,9.37,,0.082193,3.748,32.877193,34.322344,0.877193,2025-12-14,2025-12-14,1.043956,female,570,0.701754,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '0.701754'}]",546,18.74,29,4,29,217,92,60
5,369,,,31,21,21,369,5,5,3,,,,,5,1246,2,1246,5,3,5,1210,5,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,39,"[{'action_type': 'subscribe_mobile_app', 'value': '6.774545'}, {'action_type': 'subscribe_total', 'value': '6.774545'}, {'action_type': 'start_trial_mobile_app', 'value': '6.774545'}, {'action_type': 'start_trial_total', 'value': '6.774545'}]",2.403871,"[{'action_type': 'outbound_click', 'value': '2.403871'}]",2.403871,3.548571,0.201951,14.904,0.059807,0.059807,14.904,14.904,0.061587,1.910769,22.595512,23.969122,1.182535,2025-12-14,2025-12-14,1.060791,male,3298,0.939964,31,"[{'action_type': 'outbound_click', 'value': '31'}]","[{'action_type': 'outbound_click', 'value': '0.939964'}]",3109,74.52,91,4,89,1116,466,214
,,,,,,,,,,,,,,,,18,,18,,,,18,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.054444,0.054444,,,0.054444,,22.272727,27.222222,0,2025-12-14,2025-12-14,1.222222,unknown,44,,,,,36,0.98,2,3,2,16,9,8
,,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,5,5,0,2025-12-14,2025-12-14,1,male,2,,,,,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,female,1,,,,,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-14,2025-12-14,1,male,1,,,,,1,0.02,,0,,,,
,27,,,13,3,3,27,,,4,,,,,,594,,594,4,4,,577,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,13,"[{'action_type': 'start_trial_mobile_app', 'value': '18.29'}, {'action_type': 'start_trial_total', 'value': '18.29'}]",2.813846,"[{'action_type': 'outbound_click', 'value': '2.813846'}]",2.813846,12.193333,1.354815,,0.061582,0.061582,9.145,,0.063397,2.813846,21.504997,23.373802,0.764256,2025-12-14,2025-12-14,1.086901,female,1701,0.764256,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.764256'}]",1565,36.58,63,4,60,562,254,138
