action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,gender,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,43.333333,43.333333,0,2025-12-15,2025-12-15,1,male,3,,,,,3,0.13,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-15,2025-12-15,1,female,1,,,,,1,0.02,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,male,1,,,,,1,0,,1,,,,
,,,,,,,,,,,,,,,,13,,13,,,,13,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.076154,0.076154,,,0.076154,,28.285714,28.285714,0,2025-12-15,2025-12-15,1,female,35,,,,,35,0.99,1,3,1,13,5,1
,,1,,3,,,,,,,,,,,,73,,73,,,,70,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,1.98,"[{'action_type': 'outbound_click', 'value': '1.98'}]",1.98,,,,0.08137,0.08137,,,0.084857,1.98,26.167401,28.421053,1.321586,2025-12-15,2025-12-15,1.086124,male,227,1.321586,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '1.321586'}]",209,5.94,10,3,10,70,31,19
,,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,18,18,0,2025-12-15,2025-12-15,1,unknown,5,,,,,5,0.09,,1,,,,
,,,,5,,,,,,,5,,,,,343,1,343,6,5,,332,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,6,,4.452,"[{'action_type': 'outbound_click', 'value': '4.452'}]",4.452,,,,0.064898,0.064898,3.71,,0.067048,3.71,26.626794,28.212928,0.717703,2025-12-15,2025-12-15,1.059569,female,836,0.598086,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.598086'}]",789,22.26,27,3,27,311,117,67
,64,,,24,8,8,64,,,,1,1,1,,,1546,2,1546,4,1,,1518,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,30,,3.242083,"[{'action_type': 'outbound_click', 'value': '3.242083'}]",3.242083,9.72625,1.215781,,0.05033,0.05033,19.4525,,0.051258,2.593667,19.0198,20.158031,0.733317,2025-12-15,2025-12-15,1.059845,male,4091,0.586654,24,"[{'action_type': 'outbound_click', 'value': '24'}]","[{'action_type': 'outbound_click', 'value': '0.586654'}]",3860,77.81,147,3,144,1440,562,305
,,,,,,,,,,,,,,,,19,,19,,,,19,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.037368,0.037368,,,0.037368,,15.434783,16.904762,0,2025-12-15,2025-12-15,1.095238,unknown,46,,,,,42,0.71,3,4,3,19,9,5
,,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,60,60,0,2025-12-15,2025-12-15,1,male,1,,,,,1,0.06,,1,,,,
,12,,,14,2,2,12,,,,8,,,,,521,1,521,9,8,,498,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,14,"[{'action_type': 'subscribe_mobile_app', 'value': '30.17'}, {'action_type': 'subscribe_total', 'value': '30.17'}]",2.155,"[{'action_type': 'outbound_click', 'value': '2.155'}]",2.155,15.085,2.514167,,0.057908,0.057908,3.352222,,0.060582,2.155,21.658291,23.570313,1.005025,2025-12-15,2025-12-15,1.088281,female,1393,1.005025,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '1.005025'}]",1280,30.17,65,3,61,476,216,119
,155,1,,36,21,21,155,,,,8,,,,,935,,935,8,8,,891,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,37,"[{'action_type': 'subscribe_mobile_app', 'value': '16.793333'}, {'action_type': 'subscribe_total', 'value': '16.793333'}]",1.399444,"[{'action_type': 'outbound_click', 'value': '1.399444'}]",1.399444,2.399048,0.325032,,0.053882,0.053882,6.2975,,0.056543,1.361622,22.096491,22.817029,1.622807,2025-12-15,2025-12-15,1.032609,male,2280,1.578947,36,"[{'action_type': 'outbound_click', 'value': '36'}]","[{'action_type': 'outbound_click', 'value': '1.578947'}]",2208,50.38,114,4,106,846,422,238
,,,,1,,,,,,,,,,,,15,,15,,,,14,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.8,"[{'action_type': 'outbound_click', 'value': '0.8'}]",0.8,,,,0.053333,0.053333,,,0.057143,0.8,21.621622,22.222222,2.702703,2025-12-15,2025-12-15,1.027778,unknown,37,2.702703,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.702703'}]",36,0.8,,3,,14,6,2
,3,,,,,,3,,,,,,,,,67,,67,,,,67,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,1.483333,,0.066418,0.066418,,,0.066418,,23.421053,24.722222,0,2025-12-15,2025-12-15,1.055556,female,190,,,,,180,4.45,11,3,10,61,29,22
,48,,1,6,3,3,48,,,,3,,,,,196,1,196,5,3,,185,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,7,"[{'action_type': 'subscribe_mobile_app', 'value': '16.2'}, {'action_type': 'subscribe_total', 'value': '16.2'}, {'action_type': 'start_trial_mobile_app', 'value': '16.2'}, {'action_type': 'start_trial_total', 'value': '16.2'}]",2.7,"[{'action_type': 'outbound_click', 'value': '2.7'}]",2.7,5.4,0.3375,,0.082653,0.082653,3.24,,0.087568,2.314286,28.471002,30.055659,1.230228,2025-12-15,2025-12-15,1.055659,male,569,1.054482,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '1.054482'}]",539,16.2,37,4,34,178,108,60
,,,,,,,,,,,,,,,,2,,2,,,,2,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-15,2025-12-15,1,unknown,6,,,,,6,0.1,1,4,1,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-15,2025-12-15,1,female,1,,,,,1,0.02,,2,,,,
