action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,8,,,9,,,8,,,,,,246,,246,4,4,,233,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,8,,0.705556,"[{'action_type': 'outbound_click', 'value': '0.705556'}]",0.705556,,0.79375,,0.025813,0.025813,1.5875,,0.027253,0.79375,11.441441,11.441441,1.441441,2025-11-29,2025-11-29,1,555,1.621622,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.621622'}]",facebook,555,6.35,34,4,33,224,105,64
,2,,,1,,,2,,,,,,24,,24,,,,23,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,2,,1.23,"[{'action_type': 'outbound_click', 'value': '1.23'}]",1.23,,0.615,,0.05125,0.05125,,,0.053478,0.615,20.847458,20.847458,3.389831,2025-11-29,2025-11-29,1,59,1.694915,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.694915'}]",instagram,59,1.23,5,4,5,22,11,7
,,,,,,,,,,,,,4,,4,,,,4,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.025,0.025,,,0.025,,11.111111,11.111111,0,2025-11-29,2025-11-29,1,9,,,,,threads,9,0.1,,5,,4,2,1
,555,4,1,119,48,48,555,,,,,,3993,,3993,20,19,,3854,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,119,"[{'action_type': 'subscribe_mobile_app', 'value': '19.215'}, {'action_type': 'subscribe_total', 'value': '19.215'}, {'action_type': 'start_trial_mobile_app', 'value': '25.62'}, {'action_type': 'start_trial_total', 'value': '25.62'}]",0.645882,"[{'action_type': 'outbound_click', 'value': '0.645882'}]",0.645882,1.60125,0.138486,,0.019249,0.019249,3.843,,0.019943,0.645882,9.041289,9.76124,1.399835,2025-11-29,2025-11-29,1.079629,8501,1.399835,119,"[{'action_type': 'outbound_click', 'value': '119'}]","[{'action_type': 'outbound_click', 'value': '1.399835'}]",facebook,7874,76.86,334,4,305,3655,1612,884
,11,,,4,,,11,,,,,,120,,120,,,,116,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,5,,0.91,"[{'action_type': 'outbound_click', 'value': '0.91'}]",0.91,,0.330909,,0.030333,0.030333,,,0.031379,0.728,12.953737,13.140794,1.779359,2025-11-29,2025-11-29,1.01444,281,1.423488,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.423488'}]",instagram,277,3.64,10,3,10,109,39,21
,,,,,,,,,,,,,3,,3,,,,3,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.026667,0.026667,,,0.026667,,13.333333,13.333333,0,2025-11-29,2025-11-29,1,6,,,,,threads,6,0.08,,4,,3,2,
,,,,,,,,,,,,,28,,28,,,,28,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.052143,0.052143,,,0.052143,,38.421053,63.478261,0,2025-11-29,2025-11-29,1.652174,38,,,,,audience_network,23,1.46,2,5,2,26,10,7
1,383,1,1,76,18,18,383,1,1,,,1,1528,1,1528,9,7,1,1443,1,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,71,"[{'action_type': 'subscribe_mobile_app', 'value': '35.246667'}, {'action_type': 'subscribe_total', 'value': '35.246667'}, {'action_type': 'start_trial_mobile_app', 'value': '26.435'}, {'action_type': 'start_trial_total', 'value': '26.435'}]",1.391316,"[{'action_type': 'outbound_click', 'value': '1.409867'}]",1.391316,5.874444,0.276084,105.74,0.069202,0.069202,11.748889,105.74,0.073278,1.489296,25.248329,26.641471,1.69532,2025-11-29,2025-11-29,1.055178,4188,1.814709,76,"[{'action_type': 'outbound_click', 'value': '75'}]","[{'action_type': 'outbound_click', 'value': '1.790831'}]",facebook,3969,105.74,221,4,211,1379,718,434
,99,,,8,5,5,99,,,,,,232,,232,,,,224,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,9,"[{'action_type': 'subscribe_mobile_app', 'value': '20.93'}, {'action_type': 'subscribe_total', 'value': '20.93'}, {'action_type': 'start_trial_mobile_app', 'value': '10.465'}, {'action_type': 'start_trial_total', 'value': '10.465'}]",2.61625,"[{'action_type': 'outbound_click', 'value': '2.61625'}]",2.61625,4.186,0.211414,,0.090216,0.090216,,,0.093438,2.325556,28.398915,29.029126,1.221167,2025-11-29,2025-11-29,1.022191,737,1.085482,8,"[{'action_type': 'outbound_click', 'value': '8'}]","[{'action_type': 'outbound_click', 'value': '1.085482'}]",instagram,721,20.93,17,3,17,216,98,52
,,,,,,,,,,,,,78,,78,1,1,,77,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.041795,0.041795,3.26,,0.042338,,21.733333,21.879195,0,2025-11-29,2025-11-29,1.006711,150,,,,,threads,149,3.26,14,6,14,73,37,24
