action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,1,,,,,facebook,1,0.01,,1,,,,
,88,,,25,7,7,88,,,,,,,613,,613,6,6,,582,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,24,"[{'action_type': 'start_trial_mobile_app', 'value': '15.67'}, {'action_type': 'start_trial_total', 'value': '15.67'}]",0.6268,"[{'action_type': 'outbound_click', 'value': '0.6268'}]",0.6268,2.238571,0.178068,,0.025563,0.025563,2.611667,,0.026924,0.652917,12.137878,12.750203,1.859024,2025-11-30,2025-11-30,1.050448,1291,1.936483,25,"[{'action_type': 'outbound_click', 'value': '25'}]","[{'action_type': 'outbound_click', 'value': '1.936483'}]",facebook,1229,15.67,105,4,95,552,309,193
,2,,,6,,,2,,,,,,,85,,85,3,3,,76,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,9,,0.561667,"[{'action_type': 'outbound_click', 'value': '0.561667'}]",0.561667,,1.685,,0.039647,0.039647,1.123333,,0.044342,0.374444,14.977778,15.248869,4,2025-11-30,2025-11-30,1.0181,225,2.666667,6,"[{'action_type': 'outbound_click', 'value': '6'}]","[{'action_type': 'outbound_click', 'value': '2.666667'}]",instagram,221,3.37,10,4,10,70,36,19
,,,,,,,,,,,,,,8,,8,,,,8,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02875,0.02875,,,0.02875,,10,10,0,2025-11-30,2025-11-30,1,23,,,,,threads,23,0.23,1,4,1,8,4,2
,487,1,,84,35,35,487,,,,1,1,,3508,,3508,25,24,,3399,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,83,"[{'action_type': 'subscribe_mobile_app', 'value': '23.593333'}, {'action_type': 'subscribe_total', 'value': '23.593333'}, {'action_type': 'start_trial_mobile_app', 'value': '23.593333'}, {'action_type': 'start_trial_total', 'value': '23.593333'}]",0.842619,"[{'action_type': 'outbound_click', 'value': '0.842619'}]",0.842619,2.022286,0.145339,,0.020177,0.020177,2.8312,,0.020824,0.852771,9.601194,9.853822,1.125882,2025-11-30,2025-11-30,1.026312,7372,1.139447,84,"[{'action_type': 'outbound_click', 'value': '84'}]","[{'action_type': 'outbound_click', 'value': '1.139447'}]",facebook,7183,70.78,306,4,281,3228,1440,783
,34,,,10,4,4,34,,,,1,1,,289,,289,4,3,,275,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,10,,0.862,"[{'action_type': 'outbound_click', 'value': '0.862'}]",0.862,2.155,0.253529,,0.029827,0.029827,2.155,,0.031345,0.862,14.224422,14.247934,1.650165,2025-11-30,2025-11-30,1.001653,606,1.650165,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.650165'}]",instagram,605,8.62,26,4,27,254,106,48
,,,,,,,,,,,,,,20,,20,1,1,,19,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.0135,0.0135,0.27,,0.014211,,10,10,0,2025-11-30,2025-11-30,1,27,,,,,threads,27,0.27,4,22,4,18,8,7
,,,,,,,,,,,,,,,,,,,,,,6913358999384,jesus_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,2,,,,,facebook,2,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,2,,,,,facebook,2,0.04,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0.02,,6,,1,1,1
