action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,2,,,,,,,,,,16,,16,,,,14,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,0.400055,"[{'action_type': 'outbound_click', 'value': '0.400055'}]",0.400055,,,,0.050007,0.050007,,,0.057151,,57.150719,133.351677,0,2025-12-04,2025-12-04,2.333333,14,14.285714,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '14.285714'}]",audience_network,6,0.80011,10,13,10,13,11,11
,20,,,16,3,3,20,,,,,1,,598,,598,4,4,,578,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,16,,3.296704,"[{'action_type': 'outbound_click', 'value': '3.296704'}]",3.296704,17.582419,2.637363,,0.088206,0.088206,13.186814,,0.091258,3.296704,26.203306,30.454536,0.794834,2025-12-04,2025-12-04,1.16224,2013,0.794834,16,"[{'action_type': 'outbound_click', 'value': '16'}]","[{'action_type': 'outbound_click', 'value': '0.794834'}]",facebook,1732,52.747256,47,4,47,468,207,107
,40,,,10,3,3,40,,,2,2,,,864,2,864,9,5,,845,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,21,,9.184263,"[{'action_type': 'outbound_click', 'value': '9.184263'}]",9.184263,30.614211,2.296066,,0.106299,0.106299,10.204737,,0.10869,4.373459,32.441764,34.244084,0.741787,2025-12-04,2025-12-04,1.055556,2831,0.353232,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '0.353232'}]",instagram,2682,91.842634,40,3,40,687,272,122
,3,,,,,,3,,,,,,,,,,,,,,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0.036667,,,,,,,,22,22,0,2025-12-04,2025-12-04,1,5,,,,,facebook,5,0.11,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.01,0.01,,,0.01,,3.333333,3.333333,0,2025-12-04,2025-12-04,1,3,,,,,instagram,3,0.01,,2,,1,,
,435,1,,118,46,46,435,,,,,,,4492,2,4492,12,10,,4362,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,115,,0.683379,"[{'action_type': 'outbound_click', 'value': '0.683379'}]",0.683379,1.753016,0.185376,,0.017952,0.017952,6.719893,,0.018487,0.701206,8.404244,8.905436,1.198541,2025-12-04,2025-12-04,1.059636,9595,1.229807,118,"[{'action_type': 'outbound_click', 'value': '118'}]","[{'action_type': 'outbound_click', 'value': '1.229807'}]",facebook,9055,80.638721,353,4,318,4143,1815,1008
,65,,,17,8,8,65,,,,,,,596,,596,4,4,,575,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,20,,0.689486,"[{'action_type': 'outbound_click', 'value': '0.689486'}]",0.689486,1.465158,0.180327,,0.019667,0.019667,2.930317,,0.020385,0.586063,10.588318,10.588318,1.806685,2025-12-04,2025-12-04,1,1107,1.535682,17,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '1.535682'}]",instagram,1107,11.721268,50,4,50,545,240,130
,,,,,,,,,,,,,,10,,10,,,,10,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.011001,0.011001,,,0.011001,,6.111772,6.111772,0,2025-12-04,2025-12-04,1,18,,,,,threads,18,0.110012,3,7,3,10,4,4
,,,,1,,,,,,,,,,10,,10,,,,9,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.16,"[{'action_type': 'outbound_click', 'value': '1.16'}]",1.16,,,,0.116,0.116,,,0.128889,1.16,41.428571,41.428571,3.571429,2025-12-04,2025-12-04,1,28,3.571429,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.571429'}]",facebook,28,1.16,2,3,2,9,5,3
,,,,,,,,,,,,,,4,,4,,,,4,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.0775,0.0775,,,0.0775,,38.75,38.75,0,2025-12-04,2025-12-04,1,8,,,,,instagram,8,0.31,2,7,2,4,2,2
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-04,2025-12-04,1,2,,,,,threads,2,0.02,,3,,1,,
,59,3,,14,3,3,59,,,,,,,676,,676,3,3,,659,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,13,,3.603571,"[{'action_type': 'outbound_click', 'value': '3.603571'}]",3.603571,16.816667,0.855085,,0.07463,0.07463,16.816667,,0.076555,3.880769,27.965632,31.02706,0.720621,2025-12-04,2025-12-04,1.109471,1804,0.776053,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '0.776053'}]",facebook,1626,50.45,60,3,55,630,281,151
2,241,,,27,18,18,241,2,2,2,2,,2,1257,1,1257,6,3,2,1224,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,32,"[{'action_type': 'subscribe_mobile_app', 'value': '48.56'}, {'action_type': 'subscribe_total', 'value': '48.56'}]",3.597037,"[{'action_type': 'outbound_click', 'value': '3.597037'}]",3.597037,5.395556,0.402988,48.56,0.077263,0.077263,16.186667,48.56,0.079346,3.035,31.088348,31.915872,1.024328,2025-12-04,2025-12-04,1.026618,3124,0.864277,27,"[{'action_type': 'outbound_click', 'value': '27'}]","[{'action_type': 'outbound_click', 'value': '0.864277'}]",instagram,3043,97.12,90,3,90,1153,447,230
,1,,,1,,,1,,,,,,,24,,24,,,,23,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.46,"[{'action_type': 'outbound_click', 'value': '0.46'}]",0.46,,0.46,,0.019167,0.019167,,,0.02,0.46,11.794872,11.794872,2.564103,2025-12-04,2025-12-04,1,39,2.564103,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.564103'}]",threads,39,0.46,3,6,3,22,10,6
,1,,,,,,1,,,,,,,,,,,,,,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,0,,,,,,,,,,,2025-12-04,2025-12-04,0,0,,,,,facebook,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-04,2025-12-04,1,1,,,,,facebook,1,0.02,,1,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-04,2025-12-04,1,1,,,,,threads,1,0.01,,3,,,,
,12,,,1,,,12,,,,,,,45,,45,,,,44,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,3.28,"[{'action_type': 'outbound_click', 'value': '3.28'}]",3.28,,0.273333,,0.072889,0.072889,,,0.074545,3.28,33.131313,33.131313,1.010101,2025-12-04,2025-12-04,1,99,1.010101,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.010101'}]",facebook,99,3.28,9,5,7,40,24,19
,9,,,,,,9,,,,,,,30,,30,,,,30,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.274444,,0.082333,0.082333,,,0.082333,,41.166667,41.166667,0,2025-12-04,2025-12-04,1,60,,,,,instagram,60,2.47,2,4,2,27,11,9
,,,,,,,,,,,,,,1,,1,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.03,0.03,,,0.03,,15,15,0,2025-12-04,2025-12-04,1,2,,,,,threads,2,0.03,,3,,1,,
,,,,,,,,,,,,,,3,,3,,,,3,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,30,0,2025-12-04,2025-12-04,1.5,3,,,,,audience_network,2,0.06,1,9,1,3,2,1
,,,,1,,,,,,,,,,8,,8,,,,7,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,1.04,"[{'action_type': 'outbound_click', 'value': '1.04'}]",1.04,,,,0.13,0.13,,,0.148571,1.04,33.548387,37.142857,3.225806,2025-12-04,2025-12-04,1.107143,31,3.225806,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.225806'}]",facebook,28,1.04,1,3,1,6,2,2
,,,,,,,,,,,,,,3,,3,,,,3,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.176667,0.176667,,,0.176667,,48.181818,53,0,2025-12-04,2025-12-04,1.1,11,,,,,instagram,10,0.53,,2,,2,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-04,2025-12-04,1,1,,,,,facebook,1,0.06,1,14,1,1,1,1
