action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,3,,,,,,3,,,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,facebook,0,0,,,,,,
,2,,,,,,2,,,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,instagram,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,0,0,,,,,instagram,0,0,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-05,2025-12-05,1,1,,,,,facebook,1,0.01,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.06,,1,,,,
,4,,,3,,,4,,,,1,1,,,194,,194,1,,,190,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,5.213333,"[{'action_type': 'outbound_click', 'value': '5.213333'}]",5.213333,,3.91,,0.080619,0.080619,15.64,,0.082316,5.213333,27.779751,30.019194,0.53286,2025-12-05,2025-12-05,1.080614,563,0.53286,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.53286'}]",facebook,521,15.64,16,3,16,183,75,56
,40,,,10,5,5,40,,,,1,1,,,520,,520,1,,,509,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,11,,3.497,"[{'action_type': 'outbound_click', 'value': '3.497'}]",3.497,6.994,0.87425,,0.06725,0.06725,34.97,,0.068703,3.179091,26.776417,27.02473,0.842266,2025-12-05,2025-12-05,1.009274,1306,0.765697,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '0.765697'}]",instagram,1294,34.97,42,4,42,474,193,96
,2,,,,,,2,,,,,,,,20,,20,,,,20,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,0.24,,0.024,0.024,,,0.024,,14.545455,14.545455,0,2025-12-05,2025-12-05,1,33,,,,,threads,33,0.48,2,5,3,19,12,7
,,,,,,,,,,,,,,,2,,2,,,,2,,6916166162984,05 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.14,0.14,,,0.14,,140,140,0,2025-12-05,2025-12-05,1,2,,,,,instagram,2,0.28,,4,,2,,
,5,,,1,,,5,,,,,,,,7,,7,,,,6,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.22,"[{'action_type': 'outbound_click', 'value': '0.22'}]",0.22,,0.044,,0.031429,0.031429,,,0.036667,0.22,15.714286,16.923077,7.142857,2025-12-05,2025-12-05,1.076923,14,7.142857,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '7.142857'}]",facebook,13,0.22,,4,,6,2,2
,3,,,1,,,3,,,,,,,,2,,2,,,,1,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.4,"[{'action_type': 'outbound_click', 'value': '0.4'}]",0.4,,0.133333,,0.2,0.2,,,0.4,0.4,133.333333,133.333333,33.333333,2025-12-05,2025-12-05,1,3,33.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '33.333333'}]",instagram,3,0.4,,6,,1,1,1
,,,,,,,,,,,,,,,2,,2,,,,2,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.045,0.045,,,0.045,,30,30,0,2025-12-05,2025-12-05,1,3,,,,,threads,3,0.09,2,13,2,2,2,2
