action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,3,,,,,,,,,,,8,,8,,,,5,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,,0.166667,"[{'action_type': 'outbound_click', 'value': '0.166667'}]",0.166667,,,,0.0625,0.0625,,,0.1,0.25,35.714286,38.461538,14.285714,2025-12-09,2025-12-09,1.076923,14,21.428571,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '21.428571'}]",facebook,13,0.5,1,9,1,5,4,1
,2,,,1,,,2,,,,,,,,9,,9,,,,8,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.7,"[{'action_type': 'outbound_click', 'value': '0.7'}]",0.7,,0.35,,0.077778,0.077778,,,0.0875,0.7,26.923077,26.923077,3.846154,2025-12-09,2025-12-09,1,26,3.846154,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.846154'}]",instagram,26,0.7,2,3,2,7,2,2
,,,,,,,,,,,,,,,7,,7,,,,7,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.038571,0.038571,,,0.038571,,27,27,0,2025-12-09,2025-12-09,1,10,,,,,threads,10,0.27,,5,,6,3,2
,47,1,,14,9,9,47,,,1,,,,,522,,522,1,1,,507,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,14,,2.532857,"[{'action_type': 'outbound_click', 'value': '2.532857'}]",2.532857,3.94,0.754468,,0.067931,0.067931,35.46,,0.069941,2.532857,24.354396,25.732946,0.961538,2025-12-09,2025-12-09,1.056604,1456,0.961538,14,"[{'action_type': 'outbound_click', 'value': '14'}]","[{'action_type': 'outbound_click', 'value': '0.961538'}]",facebook,1378,35.46,45,4,44,488,213,108
,150,,,21,10,10,150,,,9,,,,,1207,1,1207,10,9,,1176,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,26,"[{'action_type': 'subscribe_mobile_app', 'value': '100.04'}, {'action_type': 'subscribe_total', 'value': '100.04'}, {'action_type': 'start_trial_mobile_app', 'value': '100.04'}, {'action_type': 'start_trial_total', 'value': '100.04'}]",4.76381,"[{'action_type': 'outbound_click', 'value': '4.76381'}]",4.76381,10.004,0.666933,,0.082883,0.082883,10.004,,0.085068,3.847692,35.163445,35.412389,0.913884,2025-12-09,2025-12-09,1.00708,2845,0.738137,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '0.738137'}]",instagram,2825,100.04,87,3,87,1111,444,207
,,,,,,,,,,,,,,,37,,37,,,,37,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.033243,0.033243,,,0.033243,,20.163934,20.5,0,2025-12-09,2025-12-09,1.016667,61,,,,,threads,60,1.23,10,6,10,36,22,15
,,,,,,,,,,,,,,,4,,4,,,,4,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.0375,0.0375,,,0.0375,,16.666667,18.75,0,2025-12-09,2025-12-09,1.125,9,,,,,facebook,8,0.15,1,4,1,6,4,1
,,,,,,,,,,,,,,,1,,1,,,,1,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,0.32,0.32,,,0.32,,40,40,0,2025-12-09,2025-12-09,1,8,,,,,instagram,8,0.32,1,2,1,3,1,1
,,,,1,,,,,,,,,,,6,,6,,,,5,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,,0.16,"[{'action_type': 'outbound_click', 'value': '0.16'}]",0.16,,,,0.026667,0.026667,,,0.032,0.16,26.666667,26.666667,16.666667,2025-12-09,2025-12-09,1,6,16.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '16.666667'}]",audience_network,6,0.16,3,7,3,5,3,3
,377,,,57,21,21,377,,,11,,,,,1651,1,1651,12,11,,1582,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,54,"[{'action_type': 'subscribe_mobile_app', 'value': '11.802222'}, {'action_type': 'subscribe_total', 'value': '11.802222'}, {'action_type': 'start_trial_mobile_app', 'value': '8.170769'}, {'action_type': 'start_trial_total', 'value': '8.170769'}]",1.863509,"[{'action_type': 'outbound_click', 'value': '1.863509'}]",1.863509,5.058095,0.281751,,0.064337,0.064337,8.851667,,0.067143,1.967037,22.156863,22.677199,1.126408,2025-12-09,2025-12-09,1.023484,4794,1.188986,57,"[{'action_type': 'outbound_click', 'value': '57'}]","[{'action_type': 'outbound_click', 'value': '1.188986'}]",facebook,4684,106.22,203,4,192,1502,709,415
