action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,4,,4,,,,4,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.0425,0.0425,,,0.0425,,17,17,0,2025-12-13,2025-12-13,1,10,,,,,facebook,10,0.17,1,3,1,4,1,1
,,,,,,,,,,,,,,,,7,,7,,,,7,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.044286,0.044286,,,0.044286,,19.375,20.666667,0,2025-12-13,2025-12-13,1.066667,16,,,,,instagram,15,0.31,,3,,7,2,
,,,,,,,,,,,,,,,,4,,4,,,,4,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.05,0.05,,,0.05,,16.666667,16.666667,0,2025-12-13,2025-12-13,1,12,,,,,facebook,12,0.2,1,3,,4,1,1
,,,,1,,,,,,,,,,,,11,,11,,,,10,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.82,"[{'action_type': 'outbound_click', 'value': '0.82'}]",0.82,,,,,0.074545,0.074545,,,0.082,0.82,28.275862,28.275862,3.448276,2025-12-13,2025-12-13,1,29,3.448276,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '3.448276'}]",instagram,29,0.82,2,3,2,9,4,2
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0,0,,,0,,0,0,0,2025-12-13,2025-12-13,1,1,,,,,threads,1,0,,6,,1,1,
,51,,,5,2,2,51,,,,2,,,,,491,,491,2,2,,484,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,"[{'action_type': 'subscribe_mobile_app', 'value': '31.91'}, {'action_type': 'subscribe_total', 'value': '31.91'}, {'action_type': 'start_trial_mobile_app', 'value': '31.91'}, {'action_type': 'start_trial_total', 'value': '31.91'}]",6.382,"[{'action_type': 'outbound_click', 'value': '6.382'}]",6.382,15.955,0.625686,,,0.06499,0.06499,15.955,,0.06593,6.382,25.446571,27.579948,0.398724,2025-12-13,2025-12-13,1.083838,1254,0.398724,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.398724'}]",facebook,1157,31.91,45,3,42,454,212,123
2,191,,,13,9,9,191,2,2,,,,,,2,827,,827,,,2,814,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,17,"[{'action_type': 'subscribe_mobile_app', 'value': '10.336667'}, {'action_type': 'subscribe_total', 'value': '10.336667'}, {'action_type': 'start_trial_mobile_app', 'value': '12.404'}, {'action_type': 'start_trial_total', 'value': '12.404'}]",4.770769,"[{'action_type': 'outbound_click', 'value': '4.770769'}]",4.770769,6.891111,0.324712,31.01,,0.074994,0.074994,,31.01,0.076192,3.648235,31.181498,31.466261,0.854701,2025-12-13,2025-12-13,1.009132,1989,0.653595,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.653595'}]",instagram,1971,62.02,57,3,57,745,273,137
,,,,,,,,,,,,,,,,48,,48,,,,48,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,0.040625,0.040625,,,0.040625,,23.493976,23.493976,0,2025-12-13,2025-12-13,1,83,,,,,threads,83,1.95,9,6,9,45,25,18
,,,,,,,,,,,,,,,,,,,,,,,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,,10.002068,10.002068,0,2025-12-13,2025-12-13,1,1,,,,,audience_network,1,0.010002,,,,,,
,439,3,,51,32,32,439,,,,7,1,1,,,1404,,1404,8,7,,1345,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,50,"[{'action_type': 'subscribe_mobile_app', 'value': '7.703411'}, {'action_type': 'subscribe_total', 'value': '7.703411'}, {'action_type': 'start_trial_mobile_app', 'value': '6.05268'}, {'action_type': 'start_trial_total', 'value': '6.05268'}]",1.66152,"[{'action_type': 'outbound_click', 'value': '1.66152'}]",1.66152,2.648048,0.193024,,,0.060354,0.060354,10.59219,,0.063002,1.69475,24.134868,24.733661,1.424096,2025-12-13,2025-12-13,1.02481,3511,1.452578,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '1.452578'}]",facebook,3426,84.737522,166,4,155,1284,655,387
