action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-14,2025-12-14,1,2,,,,,instagram,2,0.06,,2,,1,,
,,,,,,,,,,,,,,,,13,,13,,,,13,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.056154,0.056154,,,0.056154,,17.380952,17.804878,0,2025-12-14,2025-12-14,1.02439,42,,,,,facebook,41,0.73,,3,,12,7,2
,1,,,,,,1,,,1,,,,,,24,,24,1,1,,23,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,3.48,,0.145,0.145,3.48,,0.151304,,33.786408,34.455446,0,2025-12-14,2025-12-14,1.019802,103,,,,,instagram,101,3.48,1,2,1,22,6,2
,,,,,,,,,,,,,,,,7,,7,,,,7,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.064286,0.064286,,,0.064286,,26.470588,28.125,0,2025-12-14,2025-12-14,1.0625,17,,,,,threads,16,0.45,2,6,2,7,3,2
,10,,,7,,,10,,,3,,,,,,467,1,467,4,3,,456,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,7,,4.199463,"[{'action_type': 'outbound_click', 'value': '4.199463'}]",4.199463,,2.939624,,0.062947,0.062947,7.34906,,0.064465,4.199463,22.929983,25.254501,0.546022,2025-12-14,2025-12-14,1.101375,1282,0.546022,7,"[{'action_type': 'outbound_click', 'value': '7'}]","[{'action_type': 'outbound_click', 'value': '0.546022'}]",facebook,1164,29.396239,48,3,46,425,187,98
5,381,,,27,21,21,381,5,5,2,,,,,5,954,1,954,3,2,5,924,5,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,36,"[{'action_type': 'subscribe_mobile_app', 'value': '5.564817'}, {'action_type': 'subscribe_total', 'value': '5.564817'}, {'action_type': 'start_trial_mobile_app', 'value': '5.564817'}, {'action_type': 'start_trial_total', 'value': '5.564817'}]",2.267148,"[{'action_type': 'outbound_click', 'value': '2.267148'}]",2.267148,2.914904,0.160664,12.242598,0.064165,0.064165,20.40433,12.242598,0.066248,1.700361,24.682658,25.655067,1.451613,2025-12-14,2025-12-14,1.039396,2480,1.08871,27,"[{'action_type': 'outbound_click', 'value': '27'}]","[{'action_type': 'outbound_click', 'value': '1.08871'}]",instagram,2386,61.212991,57,5,57,850,333,157
,1,,,1,,,1,,,,,,,,,77,,77,,,,76,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,3.630771,"[{'action_type': 'outbound_click', 'value': '3.630771'}]",3.630771,,3.630771,,0.047153,0.047153,,,0.047773,3.630771,24.205137,24.367588,0.666667,2025-12-14,2025-12-14,1.006711,150,0.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.666667'}]",threads,149,3.630771,17,6,17,74,47,27
,,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,5,5,0,2025-12-14,2025-12-14,1,2,,,,,facebook,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,10,10,0,2025-12-14,2025-12-14,1,1,,,,,facebook,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,,,,,,,,,,,,,,20,20,0,2025-12-14,2025-12-14,1,1,,,,,instagram,1,0.02,,0,,,,
