action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,facebook,1,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,65,65,0,2025-12-15,2025-12-15,1,2,,,,,instagram,2,0.13,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,0,0,0,2025-12-15,2025-12-15,1,1,,,,,instagram,1,0,,1,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-12-15,2025-12-15,1,1,,,,,threads,1,0.02,,4,,1,,
,,1,,3,,,,,,,,,,,,38,,38,,,,35,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,,0.877917,"[{'action_type': 'outbound_click', 'value': '0.877917'}]",0.877917,,,,0.069309,0.069309,,,0.07525,0.877917,30.985315,35.59124,3.529412,2025-12-15,2025-12-15,1.148649,85,3.529412,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '3.529412'}]",facebook,74,2.633752,7,4,7,35,18,11
,,,,,,,,,,,,,,,,39,,39,,,,39,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.108873,0.108873,,,0.108873,,25.274098,26.372972,0,2025-12-15,2025-12-15,1.043478,168,,,,,instagram,161,4.246049,2,2,2,39,13,6
,,,,,,,,,,,,,,,,9,,9,,,,9,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.015578,0.015578,,,0.015578,,10.014265,10.014265,0,2025-12-15,2025-12-15,1,14,,,,,threads,14,0.1402,2,8,2,9,5,3
,2,,,5,,,2,,,,1,,,,,391,,391,1,1,,385,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,,4.259155,"[{'action_type': 'outbound_click', 'value': '4.259155'}]",4.259155,,10.647887,,0.054465,0.054465,21.295774,,0.055314,4.259155,19.28965,20.033654,0.452899,2025-12-15,2025-12-15,1.03857,1104,0.452899,5,"[{'action_type': 'outbound_click', 'value': '5'}]","[{'action_type': 'outbound_click', 'value': '0.452899'}]",facebook,1063,21.295774,51,3,48,372,171,97
,62,,,23,8,8,62,,,,4,1,1,,,1411,3,1411,8,4,,1380,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,30,,3.328035,"[{'action_type': 'outbound_click', 'value': '3.328035'}]",3.328035,9.568101,1.234594,,0.054249,0.054249,9.568101,,0.055467,2.551494,20.777636,21.075113,0.814332,2025-12-15,2025-12-15,1.014317,3684,0.624321,23,"[{'action_type': 'outbound_click', 'value': '23'}]","[{'action_type': 'outbound_click', 'value': '0.624321'}]",instagram,3632,76.54481,103,3,103,1295,461,246
,,,,1,,,,,,,1,,,,,106,,106,1,1,,104,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.939417,"[{'action_type': 'outbound_click', 'value': '2.939417'}]",2.939417,,,,0.02773,0.02773,2.939417,,0.028264,2.939417,15.888739,15.888739,0.540541,2025-12-15,2025-12-15,1,185,0.540541,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '0.540541'}]",threads,185,2.939417,23,6,23,103,56,34
