action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,10,,,10,,,10,,,,,,274,,274,4,4,,260,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,10,ABOVE_AVERAGE,,0.768,"[{'action_type': 'outbound_click', 'value': '0.768'}]",0.768,,0.768,,0.028029,0.028029,1.92,,0.029538,0.768,12.327448,12.327448,1.605136,2025-11-29,2025-11-29,ABOVE_AVERAGE,1,623,1.605136,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '1.605136'}]",AVERAGE,623,7.68,39,4,38,250,118,72
,566,4,1,123,48,48,566,,,,,,4116,,4116,20,19,,3973,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,124,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '20.145'}, {'action_type': 'subscribe_total', 'value': '20.145'}, {'action_type': 'start_trial_mobile_app', 'value': '26.86'}, {'action_type': 'start_trial_total', 'value': '26.86'}]",0.655122,"[{'action_type': 'outbound_click', 'value': '0.655122'}]",0.655122,1.67875,0.142367,,0.019577,0.019577,4.029,,0.020282,0.649839,9.169322,9.805305,1.411015,2025-11-29,2025-11-29,ABOVE_AVERAGE,1.06936,8788,1.399636,123,"[{'action_type': 'outbound_click', 'value': '123'}]","[{'action_type': 'outbound_click', 'value': '1.399636'}]",AVERAGE,8218,80.58,344,4,315,3767,1653,905
1,482,1,1,84,23,23,482,1,1,,,1,1866,1,1866,10,8,1,1772,1,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,80,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '32.8475'}, {'action_type': 'subscribe_total', 'value': '32.8475'}, {'action_type': 'start_trial_mobile_app', 'value': '21.898333'}, {'action_type': 'start_trial_total', 'value': '21.898333'}]",1.564167,"[{'action_type': 'outbound_click', 'value': '1.583012'}]",1.564167,5.712609,0.272593,131.39,0.070413,0.070413,13.139,131.39,0.074148,1.642375,25.697242,26.891117,1.564639,2025-11-29,2025-11-29,AVERAGE,1.046459,5113,1.642871,84,"[{'action_type': 'outbound_click', 'value': '83'}]","[{'action_type': 'outbound_click', 'value': '1.623313'}]",AVERAGE,4886,131.39,254,4,244,1694,863,517
,704,1,1,96,44,44,704,,,,,,4169,2,4169,17,14,,4056,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,97,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '32.658571'}, {'action_type': 'subscribe_total', 'value': '32.658571'}, {'action_type': 'start_trial_mobile_app', 'value': '15.240667'}, {'action_type': 'start_trial_total', 'value': '15.240667'}]",2.381354,"[{'action_type': 'outbound_click', 'value': '2.381354'}]",2.381354,5.195682,0.32473,,0.054836,0.054836,13.447647,,0.056363,2.356804,19.945036,21.355441,0.846275,2025-11-29,2025-11-29,AVERAGE,1.070715,11462,0.83755,96,"[{'action_type': 'outbound_click', 'value': '96'}]","[{'action_type': 'outbound_click', 'value': '0.83755'}]",AVERAGE,10705,228.61,326,3,299,3839,1514,809
,,,,,,,,,,,,,1,,1,,,,1,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.12,0.12,,,0.12,,40,40,0,2025-11-29,2025-11-29,UNKNOWN,1,3,,,,,UNKNOWN,3,0.12,,6,,1,1,
,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,16.666667,16.666667,0,2025-11-29,2025-11-29,UNKNOWN,1,6,,,,,UNKNOWN,6,0.1,,1,,1,,
,535,2,,76,35,35,535,,,,,,2697,,2697,12,12,,2609,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,76,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '25.16875'}, {'action_type': 'subscribe_total', 'value': '25.16875'}, {'action_type': 'start_trial_mobile_app', 'value': '18.304545'}, {'action_type': 'start_trial_total', 'value': '18.304545'}]",2.649342,"[{'action_type': 'outbound_click', 'value': '2.649342'}]",2.649342,5.752857,0.376355,,0.074657,0.074657,16.779167,,0.077175,2.649342,23.615998,24.781538,0.891391,2025-11-29,2025-11-29,BELOW_AVERAGE_35,1.049354,8526,0.891391,76,"[{'action_type': 'outbound_click', 'value': '76'}]","[{'action_type': 'outbound_click', 'value': '0.891391'}]",AVERAGE,8125,201.35,256,3,240,2470,1071,581
,546,1,1,92,30,30,546,,,,,,1840,5,1840,26,20,,1722,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,88,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '52.953333'}, {'action_type': 'subscribe_total', 'value': '52.953333'}, {'action_type': 'start_trial_mobile_app', 'value': '10.590667'}, {'action_type': 'start_trial_total', 'value': '10.590667'}]",1.726739,"[{'action_type': 'outbound_click', 'value': '1.745714'}]",1.726739,5.295333,0.290952,,0.086337,0.086337,6.11,,0.092253,1.805227,26.957407,27.380214,1.493297,2025-11-29,2025-11-29,AVERAGE,1.015684,5893,1.561174,92,"[{'action_type': 'outbound_click', 'value': '91'}]","[{'action_type': 'outbound_click', 'value': '1.544205'}]",AVERAGE,5802,158.86,246,3,235,1627,828,477
,6,,,1,1,1,6,,,,,,6,,6,,,,5,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,1,UNKNOWN,,0.93,"[{'action_type': 'outbound_click', 'value': '0.93'}]",0.93,0.93,0.155,,0.155,0.155,,,0.186,0.93,58.125,62,6.25,2025-11-29,2025-11-29,UNKNOWN,1.066667,16,6.25,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '6.25'}]",UNKNOWN,15,0.93,1,3,1,5,1,1
,5,,,,,,5,,,,,,4,,4,,,,4,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,0.136,,0.17,0.17,,,0.17,,25.185185,26.153846,0,2025-11-29,2025-11-29,UNKNOWN,1.038462,27,,,,,UNKNOWN,26,0.68,,2,,4,,
