action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,6913347654184,tyson_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,90,,,31,7,7,90,,,,,,,706,,706,9,9,,666,,6913358397984,tyson_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,33,ABOVE_AVERAGE,"[{'action_type': 'start_trial_mobile_app', 'value': '19.27'}, {'action_type': 'start_trial_total', 'value': '19.27'}]",0.621613,"[{'action_type': 'outbound_click', 'value': '0.621613'}]",0.621613,2.752857,0.214111,,0.027295,0.027295,2.141111,,0.028934,0.583939,12.521118,12.872411,2.14425,2025-11-30,2025-11-30,ABOVE_AVERAGE,1.028056,1539,2.014295,31,"[{'action_type': 'outbound_click', 'value': '31'}]","[{'action_type': 'outbound_click', 'value': '2.014295'}]",AVERAGE,1497,19.27,116,4,106,630,349,214
,521,1,,94,39,39,521,,,,2,2,,3817,,3817,30,28,,3693,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,93,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '26.556667'}, {'action_type': 'subscribe_total', 'value': '26.556667'}, {'action_type': 'start_trial_mobile_app', 'value': '26.556667'}, {'action_type': 'start_trial_total', 'value': '26.556667'}]",0.847553,"[{'action_type': 'outbound_click', 'value': '0.847553'}]",0.847553,2.042821,0.152917,,0.020872,0.020872,2.655667,,0.021573,0.856667,9.95253,10.174968,1.161774,2025-11-30,2025-11-30,AVERAGE,1.02235,8005,1.174266,94,"[{'action_type': 'outbound_click', 'value': '94'}]","[{'action_type': 'outbound_click', 'value': '1.174266'}]",AVERAGE,7830,79.67,336,4,312,3500,1554,838
,,,,,,,,,,,,,,,,,,,,,,6913358999384,jesus_rap_2_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,UNKNOWN,1,2,,,,,UNKNOWN,2,0,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6913359259784,kendrick_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,20,20,0,2025-11-30,2025-11-30,UNKNOWN,1,3,,,,,UNKNOWN,3,0.06,,2,,1,1,1
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,20,20,0,2025-11-30,2025-11-30,UNKNOWN,1,4,,,,,UNKNOWN,4,0.08,1,4,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,700,700,0,2025-11-30,2025-11-30,UNKNOWN,1,3,,,,,UNKNOWN,3,2.1,,0,,,,
,459,,,83,29,29,459,,,,,,,1914,,1914,15,15,,1816,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,81,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '36.35'}, {'action_type': 'subscribe_total', 'value': '36.35'}, {'action_type': 'start_trial_mobile_app', 'value': '18.175'}, {'action_type': 'start_trial_total', 'value': '18.175'}]",1.751807,"[{'action_type': 'outbound_click', 'value': '1.751807'}]",1.751807,5.013793,0.316776,,0.075967,0.075967,9.693333,,0.080066,1.795062,30.342237,32.132597,1.690317,2025-11-30,2025-11-30,AVERAGE,1.059006,4792,1.732053,83,"[{'action_type': 'outbound_click', 'value': '83'}]","[{'action_type': 'outbound_click', 'value': '1.732053'}]",AVERAGE,4525,145.4,351,4,340,1738,966,617
,765,4,1,87,37,37,765,,,,,,,4266,2,4266,17,14,,4162,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,96,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '26.409'}, {'action_type': 'subscribe_total', 'value': '26.409'}, {'action_type': 'start_trial_mobile_app', 'value': '17.606'}, {'action_type': 'start_trial_total', 'value': '17.606'}]",3.035517,"[{'action_type': 'outbound_click', 'value': '3.070814'}]",3.035517,7.137568,0.345216,,0.061906,0.061906,15.534706,,0.063453,2.750938,21.627221,23.304801,0.786176,2025-11-30,2025-11-30,BELOW_AVERAGE_35,1.077568,12211,0.712472,87,"[{'action_type': 'outbound_click', 'value': '86'}]","[{'action_type': 'outbound_click', 'value': '0.704283'}]",AVERAGE,11332,264.09,330,3,311,3931,1634,848
,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,50,50,0,2025-11-30,2025-11-30,UNKNOWN,1,1,,,,,UNKNOWN,1,0.05,,2,,,,
