action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,5,,,,,,5,,,,,,,,,,,,,,,,6898088828984,#30_kpop,6898088286984,FB_iOS_Purchase_itoshi_mixedstyles,6897116451584,FB_iOS_Purchase_itoshi_v1_set2,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,3,,,,,,3,,,,,,,,,,,,,,,,6913358815984,jesus_rap_1_4x5,6913347655784,FB_iOS_itoshi_rap_set1,6913347651784,FB_iOS_itoshi_rap_install,0,UNKNOWN,,,,,,0,,,,,,,,,,,2025-12-05,2025-12-05,UNKNOWN,0,0,,,,,UNKNOWN,0,0,,,,,,
,,,,,,,,,,,,,,,1,,1,,,,1,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.07,0.07,,,0.07,,17.5,17.5,0,2025-12-05,2025-12-05,UNKNOWN,1,4,,,,,UNKNOWN,4,0.07,,2,,1,,
,46,,,13,5,5,46,,,,2,2,,,734,,734,2,,,719,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,14,ABOVE_AVERAGE,,3.93,"[{'action_type': 'outbound_click', 'value': '3.93'}]",3.93,10.218,1.110652,,0.069605,0.069605,25.545,,0.071057,3.649286,26.861199,27.948578,0.736067,2025-12-05,2025-12-05,AVERAGE,1.040481,1902,0.683491,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '0.683491'}]",AVERAGE,1828,51.09,60,3,61,676,280,159
,,,,,,,,,,,,,,,2,,2,,,,2,,6916166162984,05 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.14,0.14,,,0.14,,140,140,0,2025-12-05,2025-12-05,UNKNOWN,1,2,,,,,UNKNOWN,2,0.28,,4,,2,,
,8,,,2,,,8,,,,,,,,11,,11,,,,9,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,2,UNKNOWN,,0.355,"[{'action_type': 'outbound_click', 'value': '0.355'}]",0.355,,0.08875,,0.064545,0.064545,,,0.078889,0.355,35.5,37.368421,10,2025-12-05,2025-12-05,UNKNOWN,1.052632,20,10,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '10'}]",UNKNOWN,19,0.71,2,6,2,9,5,5
,2,,,,,,2,,,,,,,,3,,3,,,,3,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,0.01,,0.006667,0.006667,,,0.006667,,5,5,0,2025-12-05,2025-12-05,UNKNOWN,1,4,,,,,UNKNOWN,4,0.02,1,6,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-05,2025-12-05,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,,,,,
11,907,,,145,69,69,907,11,11,,14,14,2,11,4231,7,4231,92,71,11,3994,11,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,170,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '36.5'}, {'action_type': 'subscribe_total', 'value': '36.5'}]",2.517241,"[{'action_type': 'outbound_click', 'value': '2.517241'}]",2.517241,5.289855,0.402426,33.181818,0.086268,0.086268,3.967391,33.181818,0.091387,2.147059,35.211268,36.052944,1.639977,2025-12-05,2025-12-05,ABOVE_AVERAGE,1.023904,10366,1.398804,145,"[{'action_type': 'outbound_click', 'value': '145'}]","[{'action_type': 'outbound_click', 'value': '1.398804'}]",BELOW_AVERAGE_35,10124,365,430,5,416,3652,1845,1136
,,,,,,,,,,,,,,,2,,2,,,,2,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.115,0.115,,,0.115,,32.857143,32.857143,0,2025-12-05,2025-12-05,UNKNOWN,1,7,,,,,UNKNOWN,7,0.23,1,3,1,2,1,1
5,194,,,21,8,8,194,5,5,,1,1,,5,802,,802,7,6,5,774,5,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,24,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.758333'}, {'action_type': 'subscribe_total', 'value': '13.758333'}]",3.930952,"[{'action_type': 'outbound_click', 'value': '3.930952'}]",3.930952,10.31875,0.425515,16.51,0.10293,0.10293,11.792857,16.51,0.106654,3.439583,37.034545,40.906838,1.076716,2025-12-05,2025-12-05,AVERAGE,1.104559,2229,0.942127,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '0.942127'}]",AVERAGE,2018,82.55,85,4,83,670,333,199
