action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6913866606184,tyson_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.08,0.08,,,0.08,,20,20,0,2025-12-07,2025-12-07,UNKNOWN,1,4,,,,,UNKNOWN,4,0.08,,3,,1,1,
,,,,,,,,,,,,,,14,,14,,,,14,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.085714,0.085714,,,0.085714,,27.906977,29.268293,0,2025-12-07,2025-12-07,UNKNOWN,1.04878,43,,,,,UNKNOWN,41,1.2,,3,,14,2,
10,874,,1,126,70,70,874,10,10,,,1,10,5728,6,5728,26,19,10,5576,10,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,148,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '58.84375'}, {'action_type': 'subscribe_total', 'value': '58.84375'}]",3.736111,"[{'action_type': 'outbound_click', 'value': '3.736111'}]",3.736111,6.725,0.538616,47.075,0.082184,0.082184,18.105769,47.075,0.084424,3.180743,33.524427,35.164712,1.053981,2025-12-07,2025-12-07,AVERAGE,1.048928,14042,0.897308,126,"[{'action_type': 'outbound_click', 'value': '126'}]","[{'action_type': 'outbound_click', 'value': '0.897308'}]",AVERAGE,13387,470.75,416,3,407,5251,2123,1131
,,,,,,,,,,,,,,,,,,,,,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-07,2025-12-07,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,2,,,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.19,0.19,,,0.19,,38,38,0,2025-12-07,2025-12-07,UNKNOWN,1,5,,,,,UNKNOWN,5,0.19,,3,,1,1,1
16,1197,1,,199,119,119,1197,16,16,7,7,7,16,5918,9,5918,92,76,16,5627,16,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,236,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '36.982308'}, {'action_type': 'subscribe_total', 'value': '36.982308'}]",2.41593,"[{'action_type': 'outbound_click', 'value': '2.41593'}]",2.41593,4.040084,0.401646,30.048125,0.081239,0.081239,5.225761,30.048125,0.08544,2.037161,33.081263,36.099264,1.62389,2025-12-07,2025-12-07,ABOVE_AVERAGE,1.09123,14533,1.369297,199,"[{'action_type': 'outbound_click', 'value': '199'}]","[{'action_type': 'outbound_click', 'value': '1.369297'}]",BELOW_AVERAGE_35,13318,480.77,586,5,574,5119,2555,1617
,,,,,,,,,,,,,,2,,2,,,,2,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.19,0.19,,,0.19,,95,95,0,2025-12-07,2025-12-07,UNKNOWN,1,4,,,,,UNKNOWN,4,0.38,1,9,1,2,1,1
5,240,,,69,21,21,240,5,5,2,2,,5,2333,3,2333,18,13,5,2246,5,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,72,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '44.746'}, {'action_type': 'subscribe_total', 'value': '44.746'}]",3.242464,"[{'action_type': 'outbound_click', 'value': '3.242464'}]",3.242464,10.65381,0.932208,44.746,0.095898,0.095898,12.429444,44.746,0.099613,3.107361,33.934476,35.546552,1.092067,2025-12-07,2025-12-07,BELOW_AVERAGE_35,1.047506,6593,1.046565,69,"[{'action_type': 'outbound_click', 'value': '69'}]","[{'action_type': 'outbound_click', 'value': '1.046565'}]",AVERAGE,6294,223.73,248,4,242,1926,938,614
,,,,,,,,,,,,,,1,,1,,,,1,,6920992821984,02 snoop_loseYourself - Copy,6920991033184,FB_iOS_itoshi_rap_set2_271125 (from install 1),6920965699384,FB_iOS_Purchase_Rap_251203,0,UNKNOWN,,,,,,,,0.01,0.01,,,0.01,,10,10,0,2025-12-07,2025-12-07,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,3,,,,
