action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,2,,,4,,,2,,,,,,,,24,,24,,,,20,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,3,UNKNOWN,,0.3675,"[{'action_type': 'outbound_click', 'value': '0.3675'}]",0.3675,,0.735,,0.06125,0.06125,,,0.0735,0.49,29.4,30,6,2025-12-09,2025-12-09,UNKNOWN,1.020408,50,8,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '8'}]",UNKNOWN,49,1.47,3,5,3,18,9,5
,197,1,,35,19,19,197,,,10,,,,,1766,1,1766,11,10,,1720,,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,40,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '136.73'}, {'action_type': 'subscribe_total', 'value': '136.73'}, {'action_type': 'start_trial_mobile_app', 'value': '136.73'}, {'action_type': 'start_trial_total', 'value': '136.73'}]",3.906571,"[{'action_type': 'outbound_click', 'value': '3.906571'}]",3.906571,7.196316,0.694061,,0.077424,0.077424,12.43,,0.079494,3.41825,31.345713,31.871795,0.917011,2025-12-09,2025-12-09,AVERAGE,1.016783,4362,0.802384,35,"[{'action_type': 'outbound_click', 'value': '35'}]","[{'action_type': 'outbound_click', 'value': '0.802384'}]",AVERAGE,4290,136.73,142,4,141,1635,679,330
,,,,,,,,,,,,,,,5,,5,,,,5,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.094,0.094,,,0.094,,27.647059,29.375,0,2025-12-09,2025-12-09,UNKNOWN,1.0625,17,,,,,UNKNOWN,16,0.47,2,3,2,9,5,2
,468,,,74,28,28,468,,,15,,,,,2163,1,2163,16,15,,2073,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,77,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '11.233846'}, {'action_type': 'subscribe_total', 'value': '11.233846'}, {'action_type': 'start_trial_mobile_app', 'value': '8.113333'}, {'action_type': 'start_trial_total', 'value': '8.113333'}]",1.973514,"[{'action_type': 'outbound_click', 'value': '1.973514'}]",1.973514,5.215714,0.312051,,0.067517,0.067517,9.1275,,0.070449,1.896623,22.822316,23.415103,1.203313,2025-12-09,2025-12-09,AVERAGE,1.025974,6399,1.156431,74,"[{'action_type': 'outbound_click', 'value': '74'}]","[{'action_type': 'outbound_click', 'value': '1.156431'}]",AVERAGE,6237,146.04,266,4,256,1974,910,534
,,,,,,,,,,,,,,,2,,2,,,,2,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.015,0.015,,,0.015,,10,10,0,2025-12-09,2025-12-09,UNKNOWN,1,3,,,,,UNKNOWN,3,0.03,,3,,2,,
,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,2,,,,
1,347,,,67,30,30,347,1,1,30,1,1,,1,1827,,1827,31,30,1,1729,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,76,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.87625'}, {'action_type': 'subscribe_total', 'value': '17.87625'}, {'action_type': 'start_trial_mobile_app', 'value': '20.43'}, {'action_type': 'start_trial_total', 'value': '20.43'}]",2.134478,"[{'action_type': 'outbound_click', 'value': '2.134478'}]",2.134478,4.767,0.412133,143.01,0.078276,0.078276,4.613226,143.01,0.082713,1.881711,30.151803,31.53473,1.602361,2025-12-09,2025-12-09,ABOVE_AVERAGE,1.045865,4743,1.412608,67,"[{'action_type': 'outbound_click', 'value': '67'}]","[{'action_type': 'outbound_click', 'value': '1.412608'}]",BELOW_AVERAGE_35,4535,143.01,194,4,188,1562,788,518
,,,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,20,20,0,2025-12-09,2025-12-09,UNKNOWN,1,2,,,,,UNKNOWN,2,0.04,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-09,2025-12-09,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,2,,,,
,53,1,,30,4,4,53,,,7,,,1,,903,1,903,9,8,,864,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,33,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '96.02'}, {'action_type': 'subscribe_total', 'value': '96.02'}, {'action_type': 'start_trial_mobile_app', 'value': '96.02'}, {'action_type': 'start_trial_total', 'value': '96.02'}]",3.200667,"[{'action_type': 'outbound_click', 'value': '3.200667'}]",3.200667,24.005,1.811698,,0.106334,0.106334,10.668889,,0.111134,2.909697,39.776305,41.459413,1.367026,2025-12-09,2025-12-09,BELOW_AVERAGE_35,1.042314,2414,1.242751,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '1.242751'}]",AVERAGE,2316,96.02,108,4,102,772,375,252
