action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,,,,,,,,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,16,16,0,2025-12-12,2025-12-12,UNKNOWN,1,5,,,,,UNKNOWN,5,0.08,,1,,,,
1,283,,,30,17,17,283,1,1,,5,1,1,,1,1365,,1365,6,5,1,1329,1,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,35,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '15.193333'}, {'action_type': 'subscribe_total', 'value': '15.193333'}, {'action_type': 'start_trial_mobile_app', 'value': '22.79'}, {'action_type': 'start_trial_total', 'value': '22.79'}]",3.038667,"[{'action_type': 'outbound_click', 'value': '3.038667'}]",3.038667,5.362353,0.32212,91.16,0.066784,0.066784,15.193333,91.16,0.068593,2.604571,27.67456,28.014751,1.062538,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.012293,3294,0.910747,30,"[{'action_type': 'outbound_click', 'value': '30'}]","[{'action_type': 'outbound_click', 'value': '0.910747'}]",AVERAGE,3254,91.16,117,3,115,1237,505,279
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,30,30,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.03,,1,,,,
,89,,,29,7,7,89,,,,6,,,2,,837,,837,8,8,,800,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,30,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '27.94'}, {'action_type': 'subscribe_total', 'value': '27.94'}, {'action_type': 'start_trial_mobile_app', 'value': '27.94'}, {'action_type': 'start_trial_total', 'value': '27.94'}]",1.926897,"[{'action_type': 'outbound_click', 'value': '1.926897'}]",1.926897,7.982857,0.627865,,0.066762,0.066762,6.985,,0.06985,1.862667,27.113052,27.787171,1.455604,2025-12-12,2025-12-12,AVERAGE,1.024863,2061,1.407084,29,"[{'action_type': 'outbound_click', 'value': '29'}]","[{'action_type': 'outbound_click', 'value': '1.407084'}]",AVERAGE,2011,55.88,94,4,89,759,343,208
,,,,,,,,,,,,,,,,,,,,,,,,6915585772984,jesus_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,10,10,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.01,,2,,,,
,171,2,,50,13,13,171,,,,7,,,,,1059,1,1059,8,7,,1001,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,50,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '19.93'}, {'action_type': 'subscribe_total', 'value': '19.93'}, {'action_type': 'start_trial_mobile_app', 'value': '15.944'}, {'action_type': 'start_trial_total', 'value': '15.944'}]",1.5944,"[{'action_type': 'outbound_click', 'value': '1.626939'}]",1.5944,6.132308,0.466199,,0.075279,0.075279,9.965,,0.07964,1.5944,24.858123,26.275544,1.559089,2025-12-12,2025-12-12,AVERAGE,1.05702,3207,1.559089,50,"[{'action_type': 'outbound_click', 'value': '49'}]","[{'action_type': 'outbound_click', 'value': '1.527908'}]",AVERAGE,3034,79.72,167,3,157,957,509,303
,,,,,,,,,,,,,,,,,,,,,,,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,25,25,0,2025-12-12,2025-12-12,UNKNOWN,1,2,,,,,UNKNOWN,2,0.05,,2,,,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,60,60,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0.06,1,13,1,1,1,1
1,416,,,52,24,24,416,1,1,,21,,,2,1,1186,3,1186,26,23,1,1108,1,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,64,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.062857'}, {'action_type': 'subscribe_total', 'value': '13.062857'}, {'action_type': 'start_trial_mobile_app', 'value': '10.16'}, {'action_type': 'start_trial_total', 'value': '10.16'}]",1.758462,"[{'action_type': 'outbound_click', 'value': '1.758462'}]",1.758462,3.81,0.219808,91.44,0.077099,0.077099,3.516923,91.44,0.082527,1.42875,31.038697,32.299541,2.172437,2025-12-12,2025-12-12,ABOVE_AVERAGE,1.040622,2946,1.765105,52,"[{'action_type': 'outbound_click', 'value': '52'}]","[{'action_type': 'outbound_click', 'value': '1.765105'}]",BELOW_AVERAGE_35,2831,91.44,124,4,124,1015,532,362
,,,,,,,,,,,,,,,,,,,,,,,,6916169150784,13 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,0,0,0,2025-12-12,2025-12-12,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,2,,,,
