action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_conversation_started_7d,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_onsite_conversion.messaging_conversation_started_7d,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,11,,11,,,,11,,6913866606384,jesus_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,0.043636,0.043636,,,0.043636,,18.461538,19.2,0,2025-12-13,2025-12-13,UNKNOWN,1.04,26,,,,,UNKNOWN,25,0.48,1,3,1,11,3,1
,,,,1,,,,,,,,,,,,16,,16,,,,15,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,1.02,"[{'action_type': 'outbound_click', 'value': '1.02'}]",1.02,,,,,0.06375,0.06375,,,0.068,1.02,24.285714,24.285714,2.380952,2025-12-13,2025-12-13,UNKNOWN,1,42,2.380952,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '2.380952'}]",UNKNOWN,42,1.02,3,3,2,14,6,3
2,242,,,18,11,11,242,2,2,,2,,,,2,1366,,1366,2,2,2,1346,2,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,22,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '13.697143'}, {'action_type': 'subscribe_total', 'value': '13.697143'}, {'action_type': 'start_trial_mobile_app', 'value': '15.98'}, {'action_type': 'start_trial_total', 'value': '15.98'}]",5.326667,"[{'action_type': 'outbound_click', 'value': '5.326667'}]",5.326667,8.716364,0.396198,47.94,,0.07019,0.07019,47.94,47.94,0.071233,4.358182,28.82742,29.887781,0.661455,2025-12-13,2025-12-13,AVERAGE,1.036783,3326,0.541191,18,"[{'action_type': 'outbound_click', 'value': '18'}]","[{'action_type': 'outbound_click', 'value': '0.541191'}]",AVERAGE,3208,95.88,111,3,108,1244,510,278
,441,3,,55,33,33,441,,,,8,1,1,,,1595,,1595,9,8,,1531,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,54,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '8.792727'}, {'action_type': 'subscribe_total', 'value': '8.792727'}, {'action_type': 'start_trial_mobile_app', 'value': '6.908571'}, {'action_type': 'start_trial_total', 'value': '6.908571'}]",1.758545,"[{'action_type': 'outbound_click', 'value': '1.758545'}]",1.758545,2.930909,0.21932,,,0.06064,0.06064,10.746667,,0.063174,1.791111,24.083665,24.686064,1.344622,2025-12-13,2025-12-13,AVERAGE,1.025013,4016,1.369522,55,"[{'action_type': 'outbound_click', 'value': '55'}]","[{'action_type': 'outbound_click', 'value': '1.369522'}]",AVERAGE,3918,96.72,182,4,171,1461,725,421
,84,,,15,10,10,84,,,,4,,,,,504,,504,4,4,,485,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,15,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '34.96'}, {'action_type': 'subscribe_total', 'value': '34.96'}, {'action_type': 'start_trial_mobile_app', 'value': '11.653333'}, {'action_type': 'start_trial_total', 'value': '11.653333'}]",2.330667,"[{'action_type': 'outbound_click', 'value': '2.330667'}]",2.330667,3.496,0.41619,,,0.069365,0.069365,8.74,,0.072082,2.330667,23.637593,25.370102,1.014199,2025-12-13,2025-12-13,AVERAGE,1.073295,1479,1.014199,15,"[{'action_type': 'outbound_click', 'value': '15'}]","[{'action_type': 'outbound_click', 'value': '1.014199'}]",AVERAGE,1378,34.96,76,3,72,471,250,150
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916143078584,jesus_rap_1_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0.06,0.06,,,0.06,,15,15,0,2025-12-13,2025-12-13,UNKNOWN,1,8,,,,,UNKNOWN,8,0.12,,2,,2,,
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916143260984,tyson_rap_2_4x5_subtitles,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,0.06,0.06,,,0.06,,10,10,0,2025-12-13,2025-12-13,UNKNOWN,1,6,,,,,UNKNOWN,6,0.06,,2,,1,1,
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916144704784,tyson_rap_2_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,0.02,0.02,,,0.02,,13.333333,13.333333,0,2025-12-13,2025-12-13,UNKNOWN,1,3,,,,,UNKNOWN,3,0.04,,7,,2,2,1
,,,,,,,,,,,,,,,,2,,2,,,,2,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,0.08,0.08,,,0.08,,22.857143,22.857143,0,2025-12-13,2025-12-13,UNKNOWN,1,7,,,,,UNKNOWN,7,0.16,,2,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,6916162285584,01 Esha,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,,20,20,0,2025-12-13,2025-12-13,UNKNOWN,1,1,,,,,UNKNOWN,1,0.02,,1,,,,
