action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.post_net_like,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_conversion.post_unlike,action_onsite_conversion.post_unsave,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,conversion_rate_ranking,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,engagement_rate_ranking,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,quality_ranking,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,,,1,,1,,,,1,,6913866605984,kendrick_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.06,0.06,,,0.06,,30,30,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.06,,2,,1,,
,1,,,,,,1,,,1,,,,,,44,,44,1,1,,43,,6913866606584,tyson_rap_2_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,4.66,,0.105909,0.105909,4.66,,0.108372,,28.765432,29.493671,0,2025-12-14,2025-12-14,UNKNOWN,1.025316,162,,,,,UNKNOWN,158,4.66,3,3,3,41,16,6
5,392,,,35,21,21,392,5,5,5,,,,,5,1498,2,1498,7,5,5,1456,5,6913866606784,jesus_rap_1_4x5 - Copy,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,44,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '8.567273'}, {'action_type': 'subscribe_total', 'value': '8.567273'}, {'action_type': 'start_trial_mobile_app', 'value': '8.567273'}, {'action_type': 'start_trial_total', 'value': '8.567273'}]",2.692571,"[{'action_type': 'outbound_click', 'value': '2.692571'}]",2.692571,4.487619,0.240408,18.848,0.062911,0.062911,13.462857,18.848,0.064725,2.141818,24.08998,25.594785,1.124744,2025-12-14,2025-12-14,AVERAGE,1.062466,3912,0.894683,35,"[{'action_type': 'outbound_click', 'value': '35'}]","[{'action_type': 'outbound_click', 'value': '0.894683'}]",AVERAGE,3682,94.24,122,4,120,1349,567,282
,,,,,,,,,,,,,,,,,,,,,,,,6915585772384,tyson_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,5,5,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.01,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6915585772584,kendrick_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,1,,,,
,228,2,1,42,16,16,228,,,9,,,1,,,1500,,1500,11,10,,1447,,6915585772784,jesus_rap_1_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,43,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '43.505'}, {'action_type': 'subscribe_total', 'value': '43.505'}, {'action_type': 'start_trial_mobile_app', 'value': '12.43'}, {'action_type': 'start_trial_total', 'value': '12.43'}]",2.071667,"[{'action_type': 'outbound_click', 'value': '2.071667'}]",2.071667,5.438125,0.381623,,0.058007,0.058007,7.91,,0.060131,2.023488,22.179455,23.567172,1.0961,2025-12-14,2025-12-14,AVERAGE,1.062568,3923,1.070609,42,"[{'action_type': 'outbound_click', 'value': '42'}]","[{'action_type': 'outbound_click', 'value': '1.070609'}]",AVERAGE,3692,87.01,163,4,157,1392,644,367
,67,1,,18,4,4,67,,,1,,,,,,289,,289,1,1,,270,,6915585773184,tyson_rap_2_4x5,6915577150784,FB_iOS_Rap_StartTrial_set1_251125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,17,AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '18.46'}, {'action_type': 'subscribe_total', 'value': '18.46'}, {'action_type': 'start_trial_mobile_app', 'value': '18.46'}, {'action_type': 'start_trial_total', 'value': '18.46'}]",1.025556,"[{'action_type': 'outbound_click', 'value': '1.085882'}]",1.025556,4.615,0.275522,,0.063875,0.063875,18.46,,0.06837,1.085882,22.790123,24.005202,2.098765,2025-12-14,2025-12-14,AVERAGE,1.053316,810,2.222222,18,"[{'action_type': 'outbound_click', 'value': '17'}]","[{'action_type': 'outbound_click', 'value': '2.098765'}]",AVERAGE,769,18.46,37,3,35,263,133,73
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916144704984,jesus_rap_1_4x5_subtitles,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0,0,,,0,,0,0,0,2025-12-14,2025-12-14,UNKNOWN,1,1,,,,,UNKNOWN,1,0,,5,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,,,,,,,15,15,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.03,,1,,,,
,226,,,35,26,26,226,,,12,,,1,,,859,,859,13,13,,811,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,41,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '9.335'}, {'action_type': 'subscribe_total', 'value': '9.335'}, {'action_type': 'start_trial_mobile_app', 'value': '12.446667'}, {'action_type': 'start_trial_total', 'value': '12.446667'}]",2.133714,"[{'action_type': 'outbound_click', 'value': '2.133714'}]",2.133714,2.872308,0.330442,,0.086938,0.086938,5.744615,,0.092084,1.821463,30.506536,31.590525,1.674837,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.035533,2448,1.429739,35,"[{'action_type': 'outbound_click', 'value': '35'}]","[{'action_type': 'outbound_click', 'value': '1.429739'}]",BELOW_AVERAGE_35,2364,74.68,102,4,98,735,385,245
,175,,,21,10,10,175,,,3,1,1,,,,467,1,467,5,3,,441,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,26,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '6.218'}, {'action_type': 'subscribe_total', 'value': '6.218'}, {'action_type': 'start_trial_mobile_app', 'value': '7.7725'}, {'action_type': 'start_trial_total', 'value': '7.7725'}]",1.480476,"[{'action_type': 'outbound_click', 'value': '1.480476'}]",1.480476,3.109,0.177657,,0.066574,0.066574,6.218,,0.070499,1.195769,23.787299,24.635499,1.989288,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.035658,1307,1.606733,21,"[{'action_type': 'outbound_click', 'value': '21'}]","[{'action_type': 'outbound_click', 'value': '1.606733'}]",BELOW_AVERAGE_35,1262,31.09,31,3,29,377,187,99
,3,,,,,,3,,,,,,,,,1,,1,,,,1,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,0,,0,0,,,0,,0,0,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0,,6,,1,1,1
,2,,,1,,,2,,,,,,,,,4,,4,,,,3,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,UNKNOWN,,0.12,"[{'action_type': 'outbound_click', 'value': '0.12'}]",0.12,,0.06,,0.03,0.03,,,0.04,0.12,8.571429,8.571429,7.142857,2025-12-14,2025-12-14,UNKNOWN,1,14,7.142857,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '7.142857'}]",UNKNOWN,14,0.12,,2,,2,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6916172137384,17 Lebrone,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,UNKNOWN,,,,,,,,0.13,0.13,,,0.13,,10.833333,10.833333,0,2025-12-14,2025-12-14,UNKNOWN,1,12,,,,,UNKNOWN,12,0.13,1,2,1,1,1,1
,,,,,,,,,,,,,,,,1,,1,,,,1,,6917461954984,04 Morgan_Gin - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.02,0.02,,,0.02,,10,10,0,2025-12-14,2025-12-14,UNKNOWN,1,2,,,,,UNKNOWN,2,0.02,,1,,,,
,269,4,1,110,31,31,269,,,20,,,1,,,3272,1,3272,23,21,,3139,,6917461956984,02 Eddie_Snoop - Copy,6917461491184,FB_iOS_Rap_StartTrial_set2_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,109,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '17.461667'}, {'action_type': 'subscribe_total', 'value': '17.461667'}, {'action_type': 'start_trial_mobile_app', 'value': '20.954'}, {'action_type': 'start_trial_total', 'value': '20.954'}]",0.952455,"[{'action_type': 'outbound_click', 'value': '0.952455'}]",0.952455,3.379677,0.38948,,0.03202,0.03202,4.555217,,0.033377,0.961193,11.987414,12.66715,1.24714,2025-12-14,2025-12-14,AVERAGE,1.056704,8740,1.258581,110,"[{'action_type': 'outbound_click', 'value': '110'}]","[{'action_type': 'outbound_click', 'value': '1.258581'}]",AVERAGE,8271,104.77,266,4,251,2818,1416,854
,,,,,,,,,,,,,,,,2,,2,,,,2,,6917505479784,06 fbg og - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,0,UNKNOWN,,,,,,,,0.09,0.09,,,0.09,,25.714286,25.714286,0,2025-12-14,2025-12-14,UNKNOWN,1,7,,,,,UNKNOWN,7,0.18,1,5,1,2,1,1
,2,,,2,1,1,2,,,,,,,,,62,,62,,,,60,,6917505480584,07 black_4 - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,2,UNKNOWN,,1.835,"[{'action_type': 'outbound_click', 'value': '1.835'}]",1.835,3.67,1.835,,0.059194,0.059194,,,0.061167,1.835,18.35,19.521277,1,2025-12-14,2025-12-14,UNKNOWN,1.06383,200,1,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '1'}]",UNKNOWN,188,3.67,8,3,9,48,24,14
,307,,1,39,25,25,307,,,10,,,1,,,1184,,1184,12,11,,1133,,6917505481184,14 blonde - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,41,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '10.5975'}, {'action_type': 'subscribe_total', 'value': '10.5975'}, {'action_type': 'start_trial_mobile_app', 'value': '10.5975'}, {'action_type': 'start_trial_total', 'value': '10.5975'}]",1.086923,"[{'action_type': 'outbound_click', 'value': '1.086923'}]",1.086923,1.6956,0.138078,,0.035802,0.035802,3.5325,,0.037414,1.033902,12.631108,13.209723,1.221692,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.045809,3356,1.162098,39,"[{'action_type': 'outbound_click', 'value': '39'}]","[{'action_type': 'outbound_click', 'value': '1.162098'}]",AVERAGE,3209,42.39,85,4,82,976,465,238
,388,,,48,29,29,388,,,12,,,,,,1297,1,1297,13,12,,1236,,6917505481984,12 Prerna - Copy 2,6917504275184,FB_iOS_Rap_StartTrial_female_281125,6915577150584,FB_iOS_Rap_StartTrial_Set1_251125,54,ABOVE_AVERAGE,"[{'action_type': 'subscribe_mobile_app', 'value': '5.616'}, {'action_type': 'subscribe_total', 'value': '5.616'}, {'action_type': 'start_trial_mobile_app', 'value': '5.105455'}, {'action_type': 'start_trial_total', 'value': '5.105455'}]",1.17,"[{'action_type': 'outbound_click', 'value': '1.194894'}]",1.17,1.936552,0.144742,,0.0433,0.0433,4.32,,0.045437,1.04,14.755649,15.269168,1.418812,2025-12-14,2025-12-14,ABOVE_AVERAGE,1.034802,3806,1.261167,48,"[{'action_type': 'outbound_click', 'value': '47'}]","[{'action_type': 'outbound_click', 'value': '1.234892'}]",BELOW_AVERAGE_35,3678,56.16,125,4,118,1142,548,339
